IDENTIFY	BUSINESS_NM	TABLE_NM	TABLE_PHYSICAL_NM	COLUMN_NM	COLUMN_PHYSICAL_NM	CLASS_CD
BASE	基盤	辞書マスタ	B_DICT	データ型	DATA_TYPE	DATA_TYPE
BASE	基盤	ログ	B_LOG	ログステータス	LOG_STATUS	LOG_STATUS
BASE	基盤	ログ明細	B_LOG_DTL	ログ明細種別	LOG_DTL_TYPE	LOG_DTL_TYPE
BASE	基盤	ログ明細	B_LOG_DTL	ログ明細ステータス	LOG_DTL_STATUS	LOG_DTL_STATUS
BASE	基盤	システムログ	B_SYSTEM_LOG	システムログ種別	SYSTEM_LOG_TYPE	SYSTEM_LOG_TYPE
BASE	基盤	システムログ	B_SYSTEM_LOG	システムログステータス	SYSTEM_LOG_STATUS	SYSTEM_LOG_STATUS
BASE	基盤	メッセージマスタ	B_MESSAGE	属性	MESSAGE_TYPE	MESSAGE_TYPE
BASE	基盤	メッセージマスタ	B_MESSAGE	システム種別	SYSTEM_TYPE	SYSTEM_TYPE
BASE	基盤	区分値マスタ	B_CLASS	システム種別	SYSTEM_TYPE	SYSTEM_TYPE
BASE	基盤	項目マスタ	B_ITEM	項目型	ITEM_TYPE	ITEM_TYPE
BASE	基盤	項目マスタ	B_ITEM	表示可否	VISIBLE	VISIBLE
BASE	基盤	項目マスタ	B_ITEM	編集可否	EDITABLE	EDITABLE
BASE	基盤	項目マスタ	B_ITEM	表示位置	TEXT_ALIGN	TEXT_ALIGN
BASE	基盤	項目マスタ	B_ITEM	必須	NECESSARY	NECESSARY
BASE	基盤	項目マスタ	B_ITEM	表示必須	DISPLAY_REQUIRED	DISPLAY_REQUIRED
BASE	基盤	列マスタ	B_COL	列型	COL_TYPE	COL_TYPE
BASE	基盤	列マスタ	B_COL	表示可否	VISIBLE	VISIBLE
BASE	基盤	列マスタ	B_COL	編集可否	EDITABLE	EDITABLE
BASE	基盤	列マスタ	B_COL	表示位置	TEXT_ALIGN	TEXT_ALIGN
BASE	基盤	列マスタ	B_COL	必須	NECESSARY	NECESSARY
BASE	基盤	画面権限マスタ	B_SCREEN_ROLE	表示可否	VISIBLE	VISIBLE
BASE	基盤	項目権限マスタ	B_ITEM_ROLE	表示可否	VISIBLE	VISIBLE
BASE	基盤	項目権限マスタ	B_ITEM_ROLE	編集可否	EDITABLE	EDITABLE
BASE	基盤	列権限マスタ	B_COL_ROLE	表示可否	VISIBLE	VISIBLE
BASE	基盤	列権限マスタ	B_COL_ROLE	編集可否	EDITABLE	EDITABLE
BASE	基盤	採番マスタ	B_NUMBERING	チェックディジット	CHECK_DIGIT	CHECK_DIGIT
BASE	基盤	権限グループマスタ	B_ROLE_GRP	権限制御区分	ROLE_CONTROL_CLASS	ROLE_CONTROL_CLASS
BASE	基盤	ユーザマスタ	B_USER	削除フラグ	DEL_FLG	DEL_FLG
BASE	基盤	ユーザ認証マスタ	B_USER_AUTH	パスワードリセット	PASSWORD_RESET	PASSWORD_RESET
BASE	基盤	ユーザ認証マスタ	B_USER_AUTH	ロックアウト	LOCKOUT	LOCKOUT
BASE	基盤	プリンタマスタ	P_PRINTER	表示可否	VISIBLE	VISIBLE
BASE	基盤	プリンタ属性マスタ	P_PRINTER_ATTRIBUTE	表示可否	VISIBLE	VISIBLE
BASE	基盤	印刷情報	P_PRINT_REQUEST	印刷ステータス	PRINT_STATUS	PRINT_STATUS
BASE	基盤	印刷情報	P_PRINT_REQUEST	部単位印刷要否	SHEET_COLLATE	SHEET_COLLATE
