辞書マスタ	HT辞書マスタ	辞書マスタ	辞書マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書カルチャマスタ	辞書カルチャマスタ	HT辞書カルチャマスタ	辞書カルチャマスタ	辞書カルチャマスタ	HT辞書カルチャマスタ	辞書カルチャマスタ	辞書カルチャマスタ	HT辞書カルチャマスタ
DICT_NM	DICT_NM	DATA_TYPE	SYSTEM_TYPE	INPUT_LIMIT	LIMIT_MESSAGE_CD	MIN_CHARS	MAX_CHARS	MIN_NUMBER	MAX_NUMBER	INTEGER_LENGTH	DECIMAL_LENGTH	CULTURE_CD	DICT_NM	DICT_NM	CULTURE_CD	DICT_NM	DICT_NM	CULTURE_CD	DICT_NM	DICT_NM
マスタ			wms									ja-JP	マスタ		en-US	MASTER		zh-CN	主表	
入荷			wms									ja-JP	入荷		en-US	RECEIVING		zh-CN	收货	
出荷			wms									ja-JP	出荷		en-US	SHIPPING		zh-CN	发货	
在庫	在庫		wms									ja-JP	在庫	在庫	en-US	INVENTORY	INVENTORY	zh-CN	库存	库存
棚卸			wms									ja-JP	棚卸		en-US	INVENTORY COUNT		zh-CN	盘点	货主选择
ユーザ荷主倉庫選択			wms									ja-JP	ユーザ荷主倉庫選択		en-US	Select User Shipper Warehouse		zh-CN	用户货主仓库选择	用户名
荷主選択	荷主選択		wms									ja-JP	荷主選択	荷主選択	en-US	Select Shipper	Select Shipper	zh-CN	货主选择	货主选择
センタ選択			wms									ja-JP	センタ選択		en-US	Select Center		zh-CN	中心选择	荷材CD
倉庫選択			wms									ja-JP	倉庫選択		en-US	Select Warehouse		zh-CN	仓库选择	顾客收货指示No.
切替			wms									ja-JP	切替		en-US	Switch		zh-CN	转换	供应方名称
WMSマスタ管理不可			wms									ja-JP	WMSマスタ管理不可		en-US	WMS Master Management Disabled		zh-CN	WMS主表管理不可	指示数
日次締処理不可			wms									ja-JP	日次締処理不可		en-US	Daily Closing Process Disabled		zh-CN	日次期限处理不可	发货打包No.
10日残数		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	10日残数		en-US	Balance (10th)		zh-CN	10日残数	出库作业No.
15日残数		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	15日残数		en-US	Balance (15th)		zh-CN	15日残数	出库作业信息
一次ピッキングリスト発行者ID		text	wms	^[0-9]*$	inputLimitCheckNumericOnlyError					15	0	ja-JP	一次ピッキングリスト発行者ID		en-US	Primary Picking List Issuer ID		zh-CN	一次分拣清单发行者ID	入数
一次ピッキングリスト発行日時		datetime	wms				11					ja-JP	一次ピッキングリスト発行日時		en-US	Primary Picking List Issued Date		zh-CN	一次分拣清单发行日时	预定数
20日残数		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	20日残数		en-US	Balance (20th)		zh-CN	20日残数	选择
二次ピッキングリスト発行者ID		text	wms	^[0-9]*$	inputLimitCheckNumericOnlyError					15	0	ja-JP	二次ピッキングリスト発行者ID		en-US	Secondary Picking List Issuer ID		zh-CN	二次分拣清单发行者ID	处理区分
二次ピッキングリスト発行日時		datetime	wms				11					ja-JP	二次ピッキングリスト発行日時		en-US	Secondary Picking List Issued Date		zh-CN	二次分拣清单发行日时	在库区分
受払日(From)			wms				10					ja-JP	受払日(From)		en-US	Inventory Activity Date (From)		zh-CN	收支日(From)	总预定数
HT検品完了日			wms				10					ja-JP	HT検品完了日		en-US	HT Inspection Date		zh-CN	HT检品完了日	
HT検品担当者ID			wms				30					ja-JP	HT検品担当者ID		en-US	HT Inspection User ID		zh-CN	HT检品担当者ID	
