CENTER_ID	CLASS_CD	CLASS_COMMENT	SYSTEM_TYPE	CLASS_DTL_CD	DICT_NM	VIEW_ORDER	DEFAULT_FLG	CLASS_GRP_CD	CLASS_GRP_COMMENT	USE_FLG	DEFAULT_FLG	CLASS_GRP_CD	CLASS_GRP_COMMENT	USE_FLG	DEFAULT_FLG	CLASS_GRP_CD	CLASS_GRP_COMMENT	USE_FLG	DEFAULT_FLG	CLASS_GRP_CD	CLASS_GRP_COMMENT	USE_FLG	DEFAULT_FLG
100008	PIC_LIST_CLS1	一次ピッキングリスト	wms	0	オーダーピッキングリスト	1	1																
100008	PIC_LIST_CLS1	一次ピッキングリスト	wms	1	トータルピッキングリスト	2	0																
100008	PIC_LIST_CLS1	一次ピッキングリスト	wms	4	ケースピッキングリスト	3	0																
100008	PIC_LIST_CLS1	一次ピッキングリスト	wms	5	マルチピッキングリスト	4	0																
100008	PIC_LIST_CLS1	一次ピッキングリスト	wms	6	単行ピッキングリスト	5	0																
100008	PIC_LIST_CLS2	二次ピッキングリスト	wms	2	摘み取りリスト	1	1																
100008	PIC_LIST_CLS2	二次ピッキングリスト	wms	3	種蒔きリスト	2	0																
100008	PIC_LIST_CLS3	送り状・荷札	wms	1	送り状＋バラ・ケース荷札	1	1																
100008	PIC_LIST_CLS3	送り状・荷札	wms	2	送り状＋バラ荷札	2	0																
100008	PIC_LIST_CLS3	送り状・荷札	wms	3	送り状＋ケース荷札	3	0																
100008	PIC_LIST_CLS3	送り状・荷札	wms	4	送り状	4	0																
100008	PIC_LIST_CLS3	送り状・荷札	wms	5	バラ・ケース荷札	5	0																
100008	PIC_LIST_CLS3	送り状・荷札	wms	6	バラ荷札	6	0																
100008	PIC_LIST_CLS3	送り状・荷札	wms	7	ケース荷札	7	0																
100008	SAGAWA_DELIV_TZ	佐川配達時間帯	wms	01	午前中	1	0																
100008	SAGAWA_DELIV_TZ	佐川配達時間帯	wms	04	18時～21時	7	0																
100008	SAGAWA_DELIV_TZ	佐川配達時間帯	wms	12	12時～14時	2	0																
100008	SAGAWA_DELIV_TZ	佐川配達時間帯	wms	14	14時～16時	3	0																
100008	SAGAWA_DELIV_TZ	佐川配達時間帯	wms	16	16時～18時	4	0																
100008	SAGAWA_DELIV_TZ	佐川配達時間帯	wms	18	18時～20時	5	0																
100008	SAGAWA_DELIV_TZ	佐川配達時間帯	wms	19	19時～21時	6	0																
100008	TRANSPORT_TYPE_ITEM	便種(商品)	wms	001	指定なし	1	0																
100008	TRANSPORT_TYPE_ITEM	便種(商品)	wms	002	飛脚クール便(冷蔵)	2	0																
100008	TRANSPORT_TYPE_ITEM	便種(商品)	wms	003	飛脚クール便(冷凍)	3	0																
100008	SLIP_SHAPE_CD	荷姿コード	wms	001	箱類	1	0																
100008	SLIP_SHAPE_CD	荷姿コード	wms	002	バッグ類	2	0																
100008	SLIP_SHAPE_CD	荷姿コード	wms	003	スーツケース	3	0																
100008	SLIP_SHAPE_CD	荷姿コード	wms	004	封筒類	4	0																
100008	SLIP_SHAPE_CD	荷姿コード	wms	005	ゴルフバッグ	5	0																
100008	SLIP_SHAPE_CD	荷姿コード	wms	006	スキー	6	0																
100008	SLIP_SHAPE_CD	荷姿コード	wms	007	スノーボード	7	0																
100008	SLIP_SHAPE_CD	荷姿コード	wms	008	その他	8	0																
100008	TRANSPORT_TYPE_SPEED	便種(スピードで選択)	wms	000	飛脚宅配便	1	0																
100008	TRANSPORT_TYPE_SPEED	便種(スピードで選択)	wms	001	飛脚スーパー便	2	0																
