MENU_GRP_CD	DICT_NM	PARENT_MENU_GRP_CD	VIEW_ORDER	VISIBLE_TYPE	SCREEN_CD	DICT_NM	DICT_NM	URL_PATH	TARGET_WINDOW	VIEW_ORDER	DEL_FLG
ReceiveMenu	入庫管理		1	HT	SymbolInspectionMethod	ｼﾝﾎﾞﾙ検品		SymbolInspectionMethod/load	0	1	0
ReceiveMenu	入庫管理		1	HT	ReceivePalletizeInspectionSymbolPaste	ﾊﾟﾚﾀｲｽﾞ検品(入庫)		ReceivePalletizeInspectionSymbolPaste/load	0	2	0
ReceiveMenu	入庫管理		1	HT	CreatePalletInfoMethod	ﾊﾟﾚｯﾄはり紙情報作成		CreatePalletInfoMethod/load	0	3	0
ReceiveMenu	入庫管理		1	HT	PalletLabelInfoTransportNumberSearch	ﾊﾟﾚｯﾄはり紙情報出力		PalletLabelInfoTransportNumberSearch/load	0	4	0
ReceiveMenu	入庫管理		1	HT	CaseInspectionPalletNumberBarcode	ｹｰｽ検品		CaseInspectionPalletNumberBarcode/load	0	5	0
ReceiveMenu	入庫管理		1	HT	PalletLabelInspectionPalletNumberBarcode	ﾊﾟﾚｯﾄはり紙検品		PalletLabelInspectionPalletNumberBarcode/load	0	6	0
ReceiveMenu	入庫管理		1	HT	ReceiveStorePalletNumberBarcode	入庫格納		ReceiveStorePalletNumberBarcode/load	0	7	0
ReceiveMenu	入庫管理		1	HT	ChangeReceivePlanStockTypeSelect	段ﾎﾞｰﾙ状態登録		ChangeReceivePlanStockTypeSelect/load	0	8	0
ShippingMenu	出庫管理		2	HT	BondedOrderPickingMethod	棚出検品		BondedOrderPickingMethod/load	0	1	0
ShippingMenu	出庫管理		2	HT	SortingPlaceIncomingInspectionListBarcode	仕分場受入検品		SortingPlaceIncomingInspectionListBarcode/load	0	2	0
ShippingMenu	出庫管理		2	HT	SortingPlaceCartonAssortSymbolBarcode	仕分場ｶｰﾄﾝ詰合せ		SortingPlaceCartonAssortSymbolBarcode/load	0	3	0
ShippingMenu	出庫管理		2	HT	SortingInspectionPalletDtFractionBarcode	仕分検品		SortingInspectionPalletDtFractionBarcode/load	0	4	0
ShippingMenu	出庫管理		2	HT	ShippingPlaceIncomingInspectionDetailBarcode	出庫場受入検品		ShippingPlaceIncomingInspectionDetailBarcode/load	0	5	0
