メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ
MESSAGE_CD	MESSAGE_TYPE	SYSTEM_TYPE	CULTURE_CD	MESSAGE_NM	MESSAGE_ABBR	MESSAGE_NM	CULTURE_CD_1	MESSAGE_NM_1	MESSAGE_ABBR_1	MESSAGE_NM_1	CULTURE_CD_2	MESSAGE_NM_2	MESSAGE_ABBR_2	MESSAGE_NM_2
acceptFileTypes	error	base	ja-JP	サーバへ送信できないファイルが含まれています。	送信不可									
accessDisableToScreenError	error	base	ja-JP	遷移しようとしている画面を使用する権限がありません。[/]メニューに遷移します。										
afterAutoPrintSetting	info	base	ja-JP	自動印刷設定(変更後)										
alreadyDeletedCannotDeleteError	error	base	ja-JP	既に削除されています。	既に削除済									
alreadyRegisteredCannotRegisterError	error	base	ja-JP	既に登録されています。	既に登録済									
applyOrderDuplicateError	error	base	ja-JP	適用順序が重複しています。	重複									
argMasterError	error	base	ja-JP	引数マスタ取得エラー	取得失敗									
authFatalError	error	base	ja-JP	認証処理にて致命的エラーが発生しました。[/]管理者に連絡して下さい。										
authenticationTokenInvalidError	error	base	ja-JP	ログアウトされています。認証画面より再度ログインして下さい。										
authorizationError	error	base	ja-JP	システムに対するアクセス権がありません。[/]管理者に連絡して下さい。										
beforeAutoPrintSetting	info	base	ja-JP	自動印刷設定(変更前)										
classCdDuplicateError	error	base	ja-JP	区分値CDが重複しています。	重複									
classDtlCdDuplicateError	error	base	ja-JP	区分値明細CDが重複しています。	重複									
classGrpCdDuplicateError	error	base	ja-JP	区分値グループCDが重複しています。	重複									
clear	info	base	ja-JP	クリア										
colCdDuplicateError	error	base	ja-JP	列CDが重複しています。	重複									
colOrderDuplicateError	error	base	ja-JP	列順序が重複しています。	重複									
columnMasterError	error	base	ja-JP	列マスタ取得エラー	取得失敗									
