REPORT_CD	REPORT_NM	REPORT_LAYOUT_NM	REPORT_LAYOUT_DATA	UPDATABLE	ATTRIBUTE1	ATTRIBUTE2	ATTRIBUTE3	ATTRIBUTE4	ATTRIBUTE5	AUTO_PRINT_TARGET_FLG	DEL_FLG	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	ITEM_FORMAT
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblWarehouseCd	拠点コード：	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblCenterNm	拠点名称  ：	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblShipSchDate	出庫予定日：	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblShipSchDateToFrom	～	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblWorkAllocateId	棚出リストキー：	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblFloor	フロア        ：	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblLocCd	ﾛｹ	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblItemCd	銘柄ｺｰﾄﾞ	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblProductNm	銘柄名称	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblLot1	商社搬入番号	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblLot4	製造年月	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblLot2	製造記号	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblOtherLot1	在庫区分	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblLot3	ﾃﾞｻﾞｲﾝ	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblPaletteTan	ﾊﾟﾚｯﾄ	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblCaseTan	ｹｰｽ	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblCaseHasuSiwake	ｹｰｽ	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblCartonHasuSiwake	ｶｰﾄﾝ	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblPaletteHasuPick	ﾊﾟﾚｯﾄ	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblCaseHasuPick	ｹｰｽ	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblCartonHasuPick	ｶｰﾄﾝ	String	1	
BondedPickingList	棚出リスト	棚出リスト	../../../../../../reports/shipping/BondedPickingList.jrxml	1						0	0	lblTotal	合計	String	1	
