REPORT_CD	REPORT_NM	REPORT_LAYOUT_NM	REPORT_LAYOUT_DATA	UPDATABLE	ATTRIBUTE1	ATTRIBUTE2	ATTRIBUTE3	ATTRIBUTE4	ATTRIBUTE5	AUTO_PRINT_TARGET_FLG	DEL_FLG	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	ITEM_FORMAT
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblInvoice1	送り状	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblYuan1	元　払	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblShippingDtY1	年	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblShippingDtM1	月	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblShippingDtD1	日	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblAbstract1	摘要	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblTakeDelivery	受　領　印	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblStoreControl	発　店　控	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblShipmentControl	発送元控	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblPackingCnt1	個数	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblGrossWeight1	容積重量	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblTotalVolume1	容積	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblHave1	必着	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblDelivTelNo1	TEL	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblDelivTelNo2	TEL	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblDestination1	お届け先	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblCharge1	荷送主	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblDepositNum1	様	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblCarrierTraceNum1	お問合せNo.	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblNum1	個	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblKg1	Kg	String	1	
CommonInvoiceList	共通送り状	共通送り状	../../../../../../reports/shipping/CommonInvoiceList.jrxml	1						0	0	lblM31	M3	String	1	
