REPORT_CD	REPORT_NM	REPORT_LAYOUT_NM	REPORT_LAYOUT_DATA	UPDATABLE	ATTRIBUTE1	ATTRIBUTE2	ATTRIBUTE3	ATTRIBUTE4	ATTRIBUTE5	AUTO_PRINT_TARGET_FLG	DEL_FLG	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	ITEM_FORMAT
EcDeliverySlipList	ECお買上明細	ECお買上明細	../../../../../../reports/ecorder/EcDeliverySlipList.jrxml	1						1	0	packingReportTitle	お買い上げ明細書	String	1	
EcDeliverySlipList	ECお買上明細	ECお買上明細	../../../../../../reports/ecorder/EcDeliverySlipList.jrxml	1						1	0	giftPackingReportTitle	送付ご案内書	String	1	
EcDeliverySlipList	ECお買上明細	ECお買上明細	../../../../../../reports/ecorder/EcDeliverySlipList.jrxml	1						1	0	greetingMessage1	このたびはお買い上げいただきまして、誠にありがとうございました。	String	1	
EcDeliverySlipList	ECお買上明細	ECお買上明細	../../../../../../reports/ecorder/EcDeliverySlipList.jrxml	1						1	0	greetingMessage2	お客様のお買い上げ明細書を送付いたしますので、	String	1	
EcDeliverySlipList	ECお買上明細	ECお買上明細	../../../../../../reports/ecorder/EcDeliverySlipList.jrxml	1						1	0	greetingMessage3	お客様への送付ご案内書を送付いたしますので、	String	1	
EcDeliverySlipList	ECお買上明細	ECお買上明細	../../../../../../reports/ecorder/EcDeliverySlipList.jrxml	1						1	0	greetingMessage4	ご確認いただきますよう、お願いいたします。	String	1	
EcDeliverySlipList	ECお買上明細	ECお買上明細	../../../../../../reports/ecorder/EcDeliverySlipList.jrxml	1						1	0	clientNm	ONEs総合商社	String	1	
EcDeliverySlipList	ECお買上明細	ECお買上明細	../../../../../../reports/ecorder/EcDeliverySlipList.jrxml	1						1	0	clientZip	〒 431-0431	String	1	
EcDeliverySlipList	ECお買上明細	ECお買上明細	../../../../../../reports/ecorder/EcDeliverySlipList.jrxml	1						1	0	clientAdd	東京都江東区東陽7-2-14東陽MKビル8F	String	1	
EcDeliverySlipList	ECお買上明細	ECお買上明細	../../../../../../reports/ecorder/EcDeliverySlipList.jrxml	1						1	0	clientTel	03-5634-0328	String	1	
