REPORT_CD	REPORT_NM	REPORT_LAYOUT_NM	REPORT_LAYOUT_DATA	UPDATABLE	ATTRIBUTE1	ATTRIBUTE2	ATTRIBUTE3	ATTRIBUTE4	ATTRIBUTE5	AUTO_PRINT_TARGET_FLG	DEL_FLG	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	ITEM_FORMAT
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblExcessOrDeficiencyReportListDomestic	不適品過不足報告書	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblCorporation	TSネットワーク（株）	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblManager	所属長	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblManagerStamp	公印	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblUser	担当者	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblUserStamp	印	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblDest	チーム 宛	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblDomestic	（国産）	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblInvDate	【棚卸実施日：	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblInvDateEnd	】	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblUnit	(単位 : 個)	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblProductCd	銘柄コード	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblProductNm	銘柄名称	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblCggdId	たばこ商品区分：	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblOfficeReportSpace	事業所報告欄	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblDiffQty	過剰数量	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblDiffQtyDeficiency	不足数量	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblCause	原因	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblTotal	合計	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblOfficeWriteSpace	事業所記入欄	String	1	
ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)	不適品過不足報告書(国産)	../../../../../../reports/inventory/ExcessOrDeficiencyReportListDomestic.jrxml	1						0	0	lblMeasures	今後の対策	String	1	
