REPORT_CD	REPORT_NM	REPORT_LAYOUT_NM	REPORT_LAYOUT_DATA	UPDATABLE	ATTRIBUTE1	ATTRIBUTE2	ATTRIBUTE3	ATTRIBUTE4	ATTRIBUTE5	AUTO_PRINT_TARGET_FLG	DEL_FLG	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	ITEM_FORMAT
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblMultiPickingList	マルチピッキングリスト	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblEmergency	緊急出荷有り	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblAgain	再	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblPage	Page:	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblClientCd	荷主	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblWarehouseCd	倉庫	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblWorkDt	作業日	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblCartNoBar	台車No.	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblPickingGroupNo	ピッキンググループNo.	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblLineNo	No.	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblLocationNm	ロケーション	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblJancd	ソースCD	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblProductCd	商品CD	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblSumPickingNum	出荷総数	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblPackingNum	オーダー別数量	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblStoreLabelNo	入庫ラベルNo.	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblProductNm	商品名称	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblLimitDt	期限日	String	1	
MultiPickingList	マルチピッキングリスト	マルチピッキングリスト	../../../../../../reports/shipping/MultiPickingList.jrxml	1						0	0	lblLot	ロット	String	1	
