REPORT_CD	REPORT_NM	REPORT_LAYOUT_NM	REPORT_LAYOUT_DATA	UPDATABLE	ATTRIBUTE1	ATTRIBUTE2	ATTRIBUTE3	ATTRIBUTE4	ATTRIBUTE5	AUTO_PRINT_TARGET_FLG	DEL_FLG	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	ITEM_FORMAT
ReceivePlanList	入荷予定リスト	入荷予定リスト	../../../../../../reports/receive/ReceivePlanList.jrxml	1						0	0	lblClientNm	荷主	String	1	
ReceivePlanList	入荷予定リスト	入荷予定リスト	../../../../../../reports/receive/ReceivePlanList.jrxml	1						0	0	lblReceiveSlipeNo	WMS入荷伝票No.	String	1	
ReceivePlanList	入荷予定リスト	入荷予定リスト	../../../../../../reports/receive/ReceivePlanList.jrxml	1						0	0	lblCntrNm	センタ	String	1	
ReceivePlanList	入荷予定リスト	入荷予定リスト	../../../../../../reports/receive/ReceivePlanList.jrxml	1						0	0	lblReceivePlanDate	入荷予定日	String	1	
ReceivePlanList	入荷予定リスト	入荷予定リスト	../../../../../../reports/receive/ReceivePlanList.jrxml	1						0	0	lblClientReceiveNo	予定顧客入荷指示No.	String	1	
ReceivePlanList	入荷予定リスト	入荷予定リスト	../../../../../../reports/receive/ReceivePlanList.jrxml	1						0	0	lblPlanSupplierNm	仕入先	String	1	
ReceivePlanList	入荷予定リスト	入荷予定リスト	../../../../../../reports/receive/ReceivePlanList.jrxml	1						0	0	lblDepositNm	預託	String	1	
ReceivePlanList	入荷予定リスト	入荷予定リスト	../../../../../../reports/receive/ReceivePlanList.jrxml	1						0	0	lblProcessTypeNm	処理区分	String	1	
ReceivePlanList	入荷予定リスト	入荷予定リスト	../../../../../../reports/receive/ReceivePlanList.jrxml	1						0	0	lblProdCd	商品CD	String	1	
ReceivePlanList	入荷予定リスト	入荷予定リスト	../../../../../../reports/receive/ReceivePlanList.jrxml	1						0	0	lblProdNm	商品名称	String	1	
ReceivePlanList	入荷予定リスト	入荷予定リスト	../../../../../../reports/receive/ReceivePlanList.jrxml	1						0	0	lblClientOrderNo	顧客発注No.	String	1	
ReceivePlanList	入荷予定リスト	入荷予定リスト	../../../../../../reports/receive/ReceivePlanList.jrxml	1						0	0	lblJAN	ソースCD	String	1	
ReceivePlanList	入荷予定リスト	入荷予定リスト	../../../../../../reports/receive/ReceivePlanList.jrxml	1						0	0	lblLimitDt	期限日	String	1	
ReceivePlanList	入荷予定リスト	入荷予定リスト	../../../../../../reports/receive/ReceivePlanList.jrxml	1						0	0	lblPlanLot	ロット	String	1	
