REPORT_CD	REPORT_NM	REPORT_LAYOUT_NM	REPORT_LAYOUT_DATA	UPDATABLE	ATTRIBUTE1	ATTRIBUTE2	ATTRIBUTE3	ATTRIBUTE4	ATTRIBUTE5	AUTO_PRINT_TARGET_FLG	DEL_FLG	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	ITEM_FORMAT
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblSortingPlaceIncomingInspecList	仕分場受入検品リスト	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblWarehouseCd	拠点コード：	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblCenterNm	拠点名称  ：	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblShipSchDate	出庫予定日：	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblShipSchDateToFrom	～	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblWorkAllocateId	棚出リストキー：	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblItemCd	銘柄ｺｰﾄﾞ	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblProductNm	銘柄名称	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblFloor	ﾌﾛｱ	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblLot1	商社搬入番号	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblLot4	製造年月	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblLot2	製造記号	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblOtherLot1	在庫区分	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblLot3	ﾃﾞｻﾞｲﾝ	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblSortReceivedCase	ｹｰｽ	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblSortReceivedCarton	ｶｰﾄﾝ	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblPickedPallet	ﾊﾟﾚｯﾄ	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblPickedCase	ｹｰｽ	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblPickedCarton	ｶｰﾄﾝ	String	1	
SortingPlaceIncomingInspecList	仕分場受入検品リスト出力	仕分場受入検品リスト出力	../../../../../../reports/shipping/SortingPlaceIncomingInspecList.jrxml	1						0	0	lblTotal	合計	String	1	
