画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
InventoryInputProductSortingPlaceProductionDateCollationHT	在庫調査入力(仕分場)	wms_ht	programName	在庫調査入力(仕分場)		1	1		0	1													
InventoryInputProductSortingPlaceProductionDateCollationHT	在庫調査入力(仕分場)	wms_ht	title	◆製造年月日照合		1	1		0	1													
InventoryInputProductSortingPlaceProductionDateCollationHT	在庫調査入力(仕分場)	wms_ht	inspectionCategory	棚卸区分		1	1		0	1													
InventoryInputProductSortingPlaceProductionDateCollationHT	在庫調査入力(仕分場)	wms_ht	productCd	銘柄CD		1	1		0	1													
InventoryInputProductSortingPlaceProductionDateCollationHT	在庫調査入力(仕分場)	wms_ht	productName	銘柄名称		1	1		0	1													
InventoryInputProductSortingPlaceProductionDateCollationHT	在庫調査入力(仕分場)	wms_ht	locationCd	調査ﾛｹｰｼｮﾝ		1	1		0	1													
InventoryInputProductSortingPlaceProductionDateCollationHT	在庫調査入力(仕分場)	wms_ht	manufactureDate	製造年月日		1	1		0	1													
InventoryInputProductSortingPlaceProductionDateCollationHT	在庫調査入力(仕分場)	wms_ht	prevInspectionManufactureDate	前回調査製造年月日		1	1		0	1													
InventoryInputProductSortingPlaceProductionDateCollationHT	在庫調査入力(仕分場)	wms_ht	return	戻る		1	1		0	1													
InventoryInputProductSortingPlaceProductionDateCollationHT	在庫調査入力(仕分場)	wms_ht	send	確定		1	1		0	1													
