画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ReceiveInspecStoreSendProductHT	完了確認(商品)	wms_ht	diffMsg1	差異がありますが		1	1		0	1													
ReceiveInspecStoreSendProductHT	完了確認(商品)	wms_ht	sameMsg1	入荷検品格納を		1	1		0	1													
ReceiveInspecStoreSendProductHT	完了確認(商品)	wms_ht	diffMsg2	検品を完了しますか？		1	1		0	1													
ReceiveInspecStoreSendProductHT	完了確認(商品)	wms_ht	sameMsg2	完了しますか？		1	1		0	1													
ReceiveInspecStoreSendProductHT	完了確認(商品)	wms_ht	productCd	商品		1	1		0	1													
ReceiveInspecStoreSendProductHT	完了確認(商品)	wms_ht	planNum	予数		1	1		0	1													
ReceiveInspecStoreSendProductHT	完了確認(商品)	wms_ht	spgQtyOns	検数		1	1		0	1													
ReceiveInspecStoreSendProductHT	完了確認(商品)	wms_ht	return	いいえ		1	1		0	1													
ReceiveInspecStoreSendProductHT	完了確認(商品)	wms_ht	send	はい		1	1		0	1													
