画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ReceiveInspectionSendWorkNoHT	完了確認(伝票No)	wms_ht	sameMsg1	検品を完了しますか？		1	1		0	1													
ReceiveInspectionSendWorkNoHT	完了確認(伝票No)	wms_ht	diffMsg1	差異がありますが		1	1		0	1													
ReceiveInspectionSendWorkNoHT	完了確認(伝票No)	wms_ht	diffMsg2	検品を完了しますか？		1	1		0	1													
ReceiveInspectionSendWorkNoHT	完了確認(伝票No)	wms_ht	workNo	伝票No		1	1		0	1													
ReceiveInspectionSendWorkNoHT	完了確認(伝票No)	wms_ht	loc	仮ロケ		1	1		0	1													
ReceiveInspectionSendWorkNoHT	完了確認(伝票No)	wms_ht	planNum1	総予定数		1	1		0	1													
ReceiveInspectionSendWorkNoHT	完了確認(伝票No)	wms_ht	planNum2	総検品数		1	1		0	1													
ReceiveInspectionSendWorkNoHT	完了確認(伝票No)	wms_ht	no	いいえ		1	1		0	1													
ReceiveInspectionSendWorkNoHT	完了確認(伝票No)	wms_ht	yes	はい		1	1		0	1													
