画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
SerialReceiveInspectionRangeHT	ｼﾘｱﾙ登入(範囲)	wms_ht	workNo	伝票No		1	1		0	1													
SerialReceiveInspectionRangeHT	ｼﾘｱﾙ登入(範囲)	wms_ht	customer	仕入先		1	1		0	1													
SerialReceiveInspectionRangeHT	ｼﾘｱﾙ登入(範囲)	wms_ht	janCd	ｿｰｽCD		1	1		0	1													
SerialReceiveInspectionRangeHT	ｼﾘｱﾙ登入(範囲)	wms_ht	productCd	商品		1	1		0	1													
SerialReceiveInspectionRangeHT	ｼﾘｱﾙ登入(範囲)	wms_ht	planLot	数量		1	1		0	1													
SerialReceiveInspectionRangeHT	ｼﾘｱﾙ登入(範囲)	wms_ht	serialNo	ｽﾀｰﾄｼﾘｱﾙ		1	1		0	1													
SerialReceiveInspectionRangeHT	ｼﾘｱﾙ登入(範囲)	wms_ht	planSerial	ｼﾘｱﾙ		1	1		0	1													
SerialReceiveInspectionRangeHT	ｼﾘｱﾙ登入(範囲)	wms_ht	return	戻る		1	1		0	1													
SerialReceiveInspectionRangeHT	ｼﾘｱﾙ登入(範囲)	wms_ht	send	送信		1	1		0	1													
