画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ShippingNoPackingListHT	出荷検品(一覧)	wms_ht	janCd	ｿｰｽCD		1	1		0	1													
ShippingNoPackingListHT	出荷検品(一覧)	wms_ht	productCd	商品		1	1		0	1													
ShippingNoPackingListHT	出荷検品(一覧)	wms_ht	pieceNo	個口番号		1	1		0	1													
ShippingNoPackingListHT	出荷検品(一覧)	wms_ht	spgQtyOns	検品数		1	1		0	1													
ShippingNoPackingListHT	出荷検品(一覧)	wms_ht	spgQtyRem	指示数		1	1		0	1													
ShippingNoPackingListHT	出荷検品(一覧)	wms_ht	option1	中断		1	1		0	1													
ShippingNoPackingListHT	出荷検品(一覧)	wms_ht	option2	削除		1	1		0	1													
ShippingNoPackingListHT	出荷検品(一覧)	wms_ht	return	戻る		1	1		0	1													
ShippingNoPackingListHT	出荷検品(一覧)	wms_ht	prev	前		1	1		0	1													
ShippingNoPackingListHT	出荷検品(一覧)	wms_ht	next	次		1	1		0	1													
