画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
MenuGrpEdit	メニューマスタメンテナンス(編集)	base	menuGrpCd	メニューグループCD		1	1		1	1													
MenuGrpEdit	メニューマスタメンテナンス(編集)	base	dictNm	メニューグループ名		1	1		1	1													
MenuGrpEdit	メニューマスタメンテナンス(編集)	base	parentMenuGrpId	親メニューグループ		1	1		0	1													
MenuGrpEdit	メニューマスタメンテナンス(編集)	base	visibleType	表示種別		1	1		1	1													
MenuGrpEdit	メニューマスタメンテナンス(編集)	base	viewOrder	表示順		1	1		1	1													
MenuGrpEdit	メニューマスタメンテナンス(編集)	base	menuGrpEdit	メニューマスタメンテナンスグリッド	grid	1	1		0	1	bscreen.screenCd	画面	1	dropdown	1	1		0	600			1	600
MenuGrpEdit	メニューマスタメンテナンス(編集)	base	menuGrpEdit	メニューマスタメンテナンスグリッド	grid	1	1		0	1	vdict.dictNm	メニュー表示名	2	text	1	1		0	300			2	300
MenuGrpEdit	メニューマスタメンテナンス(編集)	base	menuGrpEdit	メニューマスタメンテナンスグリッド	grid	1	1		0	1	urlPath	URLパス	3	text	1	1		0	600			3	600
MenuGrpEdit	メニューマスタメンテナンス(編集)	base	menuGrpEdit	メニューマスタメンテナンスグリッド	grid	1	1		0	1	targetWindow	開き方	4	dropdown	1	1		0	300			4	300
MenuGrpEdit	メニューマスタメンテナンス(編集)	base	menuGrpEdit	メニューマスタメンテナンスグリッド	grid	1	1		0	1	viewOrder	表示順	5	number	1	1	right	1	70			5	120
MenuGrpEdit	メニューマスタメンテナンス(編集)	base	menuGrpEdit	メニューマスタメンテナンスグリッド	grid	1	1		0	1	delFlg	削除	6	dropdown	1	1		0	110			6	110
MenuGrpEdit	メニューマスタメンテナンス(編集)	base	addRow	行追加		1	1		0	1													
MenuGrpEdit	メニューマスタメンテナンス(編集)	base	removeRow	行削除		1	1		0	1													
MenuGrpEdit	メニューマスタメンテナンス(編集)	base	register	登録		1	1		0	1													
