画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
PasswordChange	パスワード変更	base	oldPassword	古いパスワード		1	1		1	1													
PasswordChange	パスワード変更	base	newPassword	新しいパスワード		1	1		1	1													
PasswordChange	パスワード変更	base	newPasswordReEnter	パスワードの確認入力		1	1		1	1													
PasswordChange	パスワード変更	base	passwordChange	パスワード変更		1	1		1	1													
PasswordChange	パスワード変更	base	cancel	キャンセル		1	1		1	1													
PasswordChange	パスワード変更	base	closeSuccessMsgDialog	閉じる		1	1		1	1													
PasswordChange	パスワード変更	base	closeWarningMsgDialog	閉じる		1	1		1	1													
PasswordChange	パスワード変更	base	closeDangerMsgDialog	閉じる		1	1		1	1													
PasswordChange	パスワード変更	base	passwordReset	次回のログイン時にパスワードの変更を強制する		1	1		1	1													
