画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
PrintRequestHistBrowse	印刷履歴詳細	base	printRequestNo	再印刷No.		1	0		0	1													
PrintRequestHistBrowse	印刷履歴詳細	base	printerNm	プリンタ		1	0		0	1													
PrintRequestHistBrowse	印刷履歴詳細	base	trayNm	給紙トレイ		1	0		0	1													
PrintRequestHistBrowse	印刷履歴詳細	base	printNum	部数		1	0		0	1													
PrintRequestHistBrowse	印刷履歴詳細	base	sheetCollate	部単位印刷要否		1	0		0	1													
PrintRequestHistBrowse	印刷履歴詳細	base	printResult	印刷結果		1	0		0	1													
PrintRequestHistBrowse	印刷履歴詳細	base	printDt	印刷日時		1	0		0	1													
PrintRequestHistBrowse	印刷履歴詳細	base	queueAddDt	キュー登録日時		1	0		0	1													
PrintRequestHistBrowse	印刷履歴詳細	base	processInfo	処理情報		1	0		0	1													
PrintRequestHistBrowse	印刷履歴詳細	base	close	閉じる		1	1		0	1													
