画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
PrintRequestParam	印刷設定	base	printerId	プリンタ		1	1		1	1													
PrintRequestParam	印刷設定	base	printNum	部数		1	1		1	1													
PrintRequestParam	印刷設定	base	collateFlg	部単位		1	1		1	1													
PrintRequestParam	印刷設定	base	trayId	給紙トレイ		1	1		1	1													
PrintRequestParam	印刷設定	base	reportLayoutPrintId	帳票レイアウト		1	1		1	1													
PrintRequestParam	印刷設定	base	print	印刷		1	1		0	1													
PrintRequestParam	印刷設定	base	reportLayoutPreviewId	帳票レイアウト		1	1		1	1													
PrintRequestParam	印刷設定	base	preview	プレビュー		1	1		0	1													
PrintRequestParam	印刷設定	base	printTitle	印刷		1	0		0	1													
PrintRequestParam	印刷設定	base	previewTitle	プレビュー		1	0		0	1													
PrintRequestParam	印刷設定	base	cancel	閉じる		1	1		0	1													
PrintRequestParam	印刷設定	base	printerGroupId	プリンタグループ		1	1		1	1													
