画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
PrinterAttributeList	プリンタ属性マスタメンテナンス	base	printerNm	プリンタ名称		1	1		0	1													
PrinterAttributeList	プリンタ属性マスタメンテナンス	base	printerVisible	プリンタ表示可否		1	1		0	1													
PrinterAttributeList	プリンタ属性マスタメンテナンス	base	printerGroupId	プリンタグループ		1	1		1	1													
PrinterAttributeList	プリンタ属性マスタメンテナンス	base	trayNm	トレイ名称		1	1		0	1													
PrinterAttributeList	プリンタ属性マスタメンテナンス	base	trayVisible	トレイ表示可否		1	1		0	1													
PrinterAttributeList	プリンタ属性マスタメンテナンス	base	printerAttributeListGrid	プリンタ属性マスタメンテナンスグリッド	grid	1	1		0	1	pprinter.pprinterGroup.printerGroupNm	プリンタグループ名称	1	text	1	0		0	250				
PrinterAttributeList	プリンタ属性マスタメンテナンス	base	printerAttributeListGrid	プリンタ属性マスタメンテナンスグリッド	grid	1	1		0	1	pprinter.printerNm	プリンタ名称	2	text	1	0		0	300				
PrinterAttributeList	プリンタ属性マスタメンテナンス	base	printerAttributeListGrid	プリンタ属性マスタメンテナンスグリッド	grid	1	1		0	1	pprinter.bclassDtlByVisible.vdict.dictNm	プリンタ表示可否	3	text	1	0		0	250				
PrinterAttributeList	プリンタ属性マスタメンテナンス	base	printerAttributeListGrid	プリンタ属性マスタメンテナンスグリッド	grid	1	1		0	1	trayNm	トレイ名称	4	text	1	0		0	300				
PrinterAttributeList	プリンタ属性マスタメンテナンス	base	printerAttributeListGrid	プリンタ属性マスタメンテナンスグリッド	grid	1	1		0	1	visible	トレイ表示可否	5	dropdown	1	1		1	250				
PrinterAttributeList	プリンタ属性マスタメンテナンス	base	search	検索		1	1		0	1													
PrinterAttributeList	プリンタ属性マスタメンテナンス	base	register	登録		1	1		0	1													
PrinterAttributeList	プリンタ属性マスタメンテナンス	base	remove	削除		1	1		0	1													
