画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
RoleList	権限マスタメンテナンス(一覧)	base	roleCd	権限CD		1	1		0	1													
RoleList	権限マスタメンテナンス(一覧)	base	roleNm	権限名		1	1		0	1													
RoleList	権限マスタメンテナンス(一覧)	base	search	検索		1	1		0	1													
RoleList	権限マスタメンテナンス(一覧)	base	roleList	権限マスタ一覧グリッド	grid	1	1		0	1	roleCd	権限CD	1	text	1	0		0	300				
RoleList	権限マスタメンテナンス(一覧)	base	roleList	権限マスタ一覧グリッド	grid	1	1		0	1	vdict.dictNm	権限名	2	text	1	0		0	300				
RoleList	権限マスタメンテナンス(一覧)	base	register	新規		1	1		0	1													
RoleList	権限マスタメンテナンス(一覧)	base	updateScreen	修正(画面)		1	1		0	1													
RoleList	権限マスタメンテナンス(一覧)	base	delete	削除		1	1		0	1													
RoleList	権限マスタメンテナンス(一覧)	base	updateItem	修正(項目)		1	1		0	1													
RoleList	権限マスタメンテナンス(一覧)	base	updateScreenColRole	修正(グリッド)		1	1		0	1													
RoleList	権限マスタメンテナンス(一覧)	base	excelOutput	Excel出力		1	1		0	1													
RoleList	権限マスタメンテナンス(一覧)	base	copy	コピー		1	1		0	1													
