画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ScreenColRoleEdit	画面グリッド権限マスタメンテナンス(編集)	base	roleCd	権限		1	1		1	1													
ScreenColRoleEdit	画面グリッド権限マスタメンテナンス(編集)	base	screenCd	画面		1	1		1	1													
ScreenColRoleEdit	画面グリッド権限マスタメンテナンス(編集)	base	itemCd	グリッド		1	1		1	1													
ScreenColRoleEdit	画面グリッド権限マスタメンテナンス(編集)	base	search	検索		1	1		0	1													
ScreenColRoleEdit	画面グリッド権限マスタメンテナンス(編集)	base	screenColRoleEdit	画面グリッド権限マスタメンテナンスグリッド	grid	1	1		0	1	colCd	列CD	1	text	1	0		0	300				
ScreenColRoleEdit	画面グリッド権限マスタメンテナンス(編集)	base	screenColRoleEdit	画面グリッド権限マスタメンテナンスグリッド	grid	1	1		0	1	vdict.dictNm	列名	2	text	1	0		0	300				
ScreenColRoleEdit	画面グリッド権限マスタメンテナンス(編集)	base	screenColRoleEdit	画面グリッド権限マスタメンテナンスグリッド	grid	1	1		0	1	bclassDtlByVisible.vdict.dictNm	表示可否	3	text	1	0		0	75				
ScreenColRoleEdit	画面グリッド権限マスタメンテナンス(編集)	base	screenColRoleEdit	画面グリッド権限マスタメンテナンスグリッド	grid	1	1		0	1	bclassDtlByEditable.vdict.dictNm	編集可否	4	text	1	0		0	75				
ScreenColRoleEdit	画面グリッド権限マスタメンテナンス(編集)	base	screenColRoleEdit	画面グリッド権限マスタメンテナンスグリッド	grid	1	1		0	1	roleColVisible	権限別 表示可否	5	dropdown	1	1		0	140				
ScreenColRoleEdit	画面グリッド権限マスタメンテナンス(編集)	base	screenColRoleEdit	画面グリッド権限マスタメンテナンスグリッド	grid	1	1		0	1	roleColEditable	権限別 編集可否	6	dropdown	1	1		0	140				
ScreenColRoleEdit	画面グリッド権限マスタメンテナンス(編集)	base	register	登録		1	1		0	1													
