画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ScreenList	画面マスタメンテナンス(一覧)	base	screenCd	画面CD		1	1		0	1													
ScreenList	画面マスタメンテナンス(一覧)	base	screenNm	画面名		1	1		0	1													
ScreenList	画面マスタメンテナンス(一覧)	base	systemType	システム種別		1	1		0	1													
ScreenList	画面マスタメンテナンス(一覧)	base	search	検索		1	1		0	1													
ScreenList	画面マスタメンテナンス(一覧)	base	screenList	画面マスタ一覧グリッド	grid	1	1		0	1	screenCd	項目CD	1	text	1	0		0	300				
ScreenList	画面マスタメンテナンス(一覧)	base	screenList	画面マスタ一覧グリッド	grid	1	1		0	1	vdict.dictNm	画面名	2	text	1	0		0	300				
ScreenList	画面マスタメンテナンス(一覧)	base	screenList	画面マスタ一覧グリッド	grid	1	1		0	1	systemTypeNm	システム種別	3	text	1	0		0	110				
ScreenList	画面マスタメンテナンス(一覧)	base	register	新規		1	1		0	1													
ScreenList	画面マスタメンテナンス(一覧)	base	update	修正		1	1		0	1													
ScreenList	画面マスタメンテナンス(一覧)	base	delete	削除		1	1		0	1													
ScreenList	画面マスタメンテナンス(一覧)	base	gridUpdate	修正(グリッド)		1	1		0	1													
ScreenList	画面マスタメンテナンス(一覧)	base	copy	コピー		1	1		0	1													
