画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
AttendanceEntry	出退勤・休憩入力	wms	mClient	荷主		1	1		1	1													
AttendanceEntry	出退勤・休憩入力	wms	currentTime	現在の時刻		1	0		0	1													
AttendanceEntry	出退勤・休憩入力	wms	attendance	出勤		1	1		0	1													
AttendanceEntry	出退勤・休憩入力	wms	leaveWork	退勤		1	1		0	1													
AttendanceEntry	出退勤・休憩入力	wms	startBreak	休憩開始		1	1		0	1													
AttendanceEntry	出退勤・休憩入力	wms	endBreak	休憩終了		1	1		0	1													
AttendanceEntry	出退勤・休憩入力	wms	userCd	作業者CD		1	1		1	1													
AttendanceEntry	出退勤・休憩入力	wms	register	登録		1	1		0	1													
AttendanceEntry	出退勤・休憩入力	wms	outputLog	ログ出力		1	0		0	1													
AttendanceEntry	出退勤・休憩入力	wms	password	パスワード		1	1		1	1													
