画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
BondedReceiveConfirm	入庫完了登録	wms	centerCd	拠点	dropdown	1	0		1	1													
BondedReceiveConfirm	入庫完了登録	wms	clientCd	荷主	dropdown	1	0		1	1													
BondedReceiveConfirm	入庫完了登録	wms	receiveSts	入庫ステータス	dropdown	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	fcFlg	内外区分	dropdown	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	supplierrcvno	保税管理番号	text	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	receivePlanDtFrom	入庫予定日(From)	date	1	1		1	1													
BondedReceiveConfirm	入庫完了登録	wms	receivePlanDtTo	入庫予定日(To)	date	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	carrierno	コンテナNo.	text	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	lot1	商社搬入番号	text	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	lot4	製造年月日	date	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	itemcd	銘柄CD	text	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	lot3	デザイン区分	dropdown	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	otherrefno1	特販業者	dropdown	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	fromphone	搬入順	text	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	fromfax	ラインNo.	text	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	carrierwbno	オーダーNo.	text	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	carriersname	SRC CD	text	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	fromaddress1	B/LNo.	text	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	carriername	連携項目	text	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	search	検索	button	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	excelOutput	Excel出力	button	1	1		0	0													
BondedReceiveConfirm	入庫完了登録	wms	bondedReceiveConfirmList	入庫完了登録グリッド	grid	1	1		0	0	treceivePlanH.receivePlanDt	入庫予定日	1	date	1	0		0	180			1	180
BondedReceiveConfirm	入庫完了登録	wms	bondedReceiveConfirmList	入庫完了登録グリッド	grid	1	1		0	0	receiveSts	入庫ステータス	2	text	1	0		0	180			2	180
BondedReceiveConfirm	入庫完了登録	wms	bondedReceiveConfirmList	入庫完了登録グリッド	grid	1	1		0	0	fcFlg	内外区分	3	text	1	0		0	180			3	180
BondedReceiveConfirm	入庫完了登録	wms	bondedReceiveConfirmList	入庫完了登録グリッド	grid	1	1		0	0	supplierrcvno	保税管理番号	4	text	1	0		0	180			4	180
BondedReceiveConfirm	入庫完了登録	wms	bondedReceiveConfirmList	入庫完了登録グリッド	grid	1	1		0	0	fromaddress1	B/LNo.	5	text	1	0		0	180			5	180
BondedReceiveConfirm	入庫完了登録	wms	bondedReceiveConfirmList	入庫完了登録グリッド	grid	1	1		0	0	carrierno	コンテナNo.	6	text	1	0		0	180			6	180
BondedReceiveConfirm	入庫完了登録	wms	bondedReceiveConfirmList	入庫完了登録グリッド	grid	1	1		0	0	carriername	連携項目	7	text	1	0		0	180			7	180
BondedReceiveConfirm	入庫完了登録	wms	bondedReceiveConfirmList	入庫完了登録グリッド	grid	1	1		0	0	ttrrcvdetail.itemcd	銘柄CD	8	text	1	0		0	180			8	180
BondedReceiveConfirm	入庫完了登録	wms	bondedReceiveConfirmList	入庫完了登録グリッド	grid	1	1		0	0	ttrrcvdetail.mproduct.productAbbr	銘柄名称	9	text	1	0		0	180			9	180
BondedReceiveConfirm	入庫完了登録	wms	bondedReceiveConfirmList	入庫完了登録グリッド	grid	1	1		0	0	ttrrcvdetail.lot1	商社搬入番号	10	text	1	0		0	180			10	180
BondedReceiveConfirm	入庫完了登録	wms	bondedReceiveConfirmList	入庫完了登録グリッド	grid	1	1		0	0	ttrrcvdetail.lot4	製造年月日	11	date	1	0		0	180			11	180
BondedReceiveConfirm	入庫完了登録	wms	bondedReceiveConfirmList	入庫完了登録グリッド	grid	1	1		0	0	ttrrcvdetail.lot3	デザイン区分	12	text	1	0		0	180			12	180
