画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
CarrierSlipCESMaster	キャリアEDIシステム送り状マスタメンテナンス(一覧)	wms	clientCd	荷主		1	0		0	1													
CarrierSlipCESMaster	キャリアEDIシステム送り状マスタメンテナンス(一覧)	wms	customerCd	取引先		1	1		0	1													
CarrierSlipCESMaster	キャリアEDIシステム送り状マスタメンテナンス(一覧)	wms	delFlg	削除		1	1		0	1													
CarrierSlipCESMaster	キャリアEDIシステム送り状マスタメンテナンス(一覧)	wms	new	新規		1	1		0	1													
CarrierSlipCESMaster	キャリアEDIシステム送り状マスタメンテナンス(一覧)	wms	update	修正		1	1		0	1													
CarrierSlipCESMaster	キャリアEDIシステム送り状マスタメンテナンス(一覧)	wms	search	検索		1	1		0	1													
CarrierSlipCESMaster	キャリアEDIシステム送り状マスタメンテナンス(一覧)	wms	excelOutput	Excel出力		1	1		0	1													
CarrierSlipCESMaster	キャリアEDIシステム送り状マスタメンテナンス(一覧)	wms	copy	コピー		1	1		0	1													
CarrierSlipCESMaster	キャリアEDIシステム送り状マスタメンテナンス(一覧)	wms	carrierSlipList	キャリアEDIシステム送り状マスタ一覧グリッド	grid	1	0		0	1	mcustomer.customerCd	取引先CD	1	text	1	0		0	300			1	300
CarrierSlipCESMaster	キャリアEDIシステム送り状マスタメンテナンス(一覧)	wms	carrierSlipList	キャリアEDIシステム送り状マスタ一覧グリッド	grid	1	0		0	1	mcustomer.customerNm	取引先名称	2	text	1	0		0	300			2	300
CarrierSlipCESMaster	キャリアEDIシステム送り状マスタメンテナンス(一覧)	wms	carrierSlipList	キャリアEDIシステム送り状マスタ一覧グリッド	grid	1	0		0	1	collectAccountNoBillTo	Collect Account# (Bill To)	3	text	1	0		0	300			3	300
CarrierSlipCESMaster	キャリアEDIシステム送り状マスタメンテナンス(一覧)	wms	carrierSlipList	キャリアEDIシステム送り状マスタ一覧グリッド	grid	1	0		0	1	collectZipCdBillTo	Collect Zip Code (Bill To)	4	text	1	0		0	300			4	300
CarrierSlipCESMaster	キャリアEDIシステム送り状マスタメンテナンス(一覧)	wms	carrierSlipList	キャリアEDIシステム送り状マスタ一覧グリッド	grid	1	0		0	1	collectCountryCdBillTo	Collect Country Code (Bill To)	5	text	1	0		0	300			5	300
