画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
CarrierSlipCESMasterEdit	キャリアEDIシステム送り状マスタメンテナンス(編集)	wms	clientCd	荷主		1	1		1	1													
CarrierSlipCESMasterEdit	キャリアEDIシステム送り状マスタメンテナンス(編集)	wms	delFlg	削除		1	1		1	1													
CarrierSlipCESMasterEdit	キャリアEDIシステム送り状マスタメンテナンス(編集)	wms	customerCd	取引先		1	1		1	1													
CarrierSlipCESMasterEdit	キャリアEDIシステム送り状マスタメンテナンス(編集)	wms	collectAccountNoBillTo	Collect Account# (Bill To)		1	1		0	1													
CarrierSlipCESMasterEdit	キャリアEDIシステム送り状マスタメンテナンス(編集)	wms	collectZipCdBillTo	Collect Zip Code (Bill To)		1	1		0	1													
CarrierSlipCESMasterEdit	キャリアEDIシステム送り状マスタメンテナンス(編集)	wms	collectCountryCdBillTo	Collect Country Code (Bill To)		1	1		0	1													
CarrierSlipCESMasterEdit	キャリアEDIシステム送り状マスタメンテナンス(編集)	wms	paymentTermCdTaxesTo	Payment Term Code (Taxes To)		1	1		0	1													
CarrierSlipCESMasterEdit	キャリアEDIシステム送り状マスタメンテナンス(編集)	wms	collectAccountNoTaxesTo	Collect Account# (Taxes To)		1	1		0	1													
CarrierSlipCESMasterEdit	キャリアEDIシステム送り状マスタメンテナンス(編集)	wms	collectZipCdTaxesTo	Collect Zip Code (Taxes To)		1	1		0	1													
