画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
CarrierSlipYmtMaster	ヤマト送り状マスタメンテナンス(一覧)	wms	search	検索		1	1		0	1													
CarrierSlipYmtMaster	ヤマト送り状マスタメンテナンス(一覧)	wms	centerCd	センタ		1	1		1	1													
CarrierSlipYmtMaster	ヤマト送り状マスタメンテナンス(一覧)	wms	excelOutput	Excel出力		1	1		0	1													
CarrierSlipYmtMaster	ヤマト送り状マスタメンテナンス(一覧)	wms	tagType	データ種別		1	1		0	1													
CarrierSlipYmtMaster	ヤマト送り状マスタメンテナンス(一覧)	wms	carrierSlipYmtList	ヤマト送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	tagType	データ種別	1	text	1	0		0	170			1	170
CarrierSlipYmtMaster	ヤマト送り状マスタメンテナンス(一覧)	wms	carrierSlipYmtList	ヤマト送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	tagNm	データ種別名称	2	text	1	0		0	170			2	170
CarrierSlipYmtMaster	ヤマト送り状マスタメンテナンス(一覧)	wms	carrierSlipYmtList	ヤマト送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	characterCd	文字コードCD	3	text	1	0		0	170			3	220
CarrierSlipYmtMaster	ヤマト送り状マスタメンテナンス(一覧)	wms	carrierSlipYmtList	ヤマト送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	bclassDtlByCharacterCd.vdict.dictNm	文字コード名称	4	text	1	0		0	170			4	220
CarrierSlipYmtMaster	ヤマト送り状マスタメンテナンス(一覧)	wms	carrierSlipYmtList	ヤマト送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	slipType	送り状種別CD	5	text	1	0		0	210			5	210
