画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	search	検索		1	1		0	1													
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	centerCd	センタ		1	1		1	1													
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	excelOutput	Excel出力		1	1		0	1													
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	tagType	データ種別		1	1		0	1													
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	carrierSlipYupkList	ゆうパック送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	tagType	データ種別	1	text	1	0		0	170			1	170
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	carrierSlipYupkList	ゆうパック送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	tagNm	データ種別名称	2	text	1	0		0	300			2	300
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	carrierSlipYupkList	ゆうパック送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	characterCd	文字コードCD	3	text	1	0		0	145			3	220
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	carrierSlipYupkList	ゆうパック送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	bclassDtlByCharacterCd.vdict.dictNm	文字コード名称	4	text	1	0		0	145			4	220
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	carrierSlipYupkList	ゆうパック送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	postType	郵便種別CD	5	text	1	0		0	175			5	175
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	carrierSlipYupkList	ゆうパック送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	bclassDtlByPostType.vdict.dictNm	郵便種別名称	6	text	1	0		0	175			6	175
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	carrierSlipYupkList	ゆうパック送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	coolType	保冷種別CD	7	text	1	0		0	130			7	220
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	carrierSlipYupkList	ゆうパック送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	bclassDtlByCoolType.vdict.dictNm	保冷種別名称	8	text	1	0		0	130			8	220
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	carrierSlipYupkList	ゆうパック送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	codType	元/着払/代引CD	9	text	1	0		0	125			9	250
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	carrierSlipYupkList	ゆうパック送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	bclassDtlByCodType.vdict.dictNm	元/着払/代引名称	10	text	1	0		0	125			10	250
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	carrierSlipYupkList	ゆうパック送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	carrierType	送り状種別	11	text	1	0		0	210			11	210
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	carrierSlipYupkList	ゆうパック送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	slipClientZipCd	ご依頼主郵便番号	12	text	1	0		0	140			12	140
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	carrierSlipYupkList	ゆうパック送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	slipClientAddress1	ご依頼主住所1	13	text	1	0		0	300			13	300
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	carrierSlipYupkList	ゆうパック送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	slipClientAddress2	ご依頼主住所2	14	text	1	0		0	300			14	300
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	wms	carrierSlipYupkList	ゆうパック送り状マスタメンテナンスメンテナンスグリッド	grid	1	1		0	1	slipClientAddress3	ご依頼主住所3	15	text	1	0		0	300			15	300
