画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	centerClientCls	センタ・荷主区分		1	1		1	1													
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	centerOrClient	センタ・荷主		1	1		1	1													
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	screen	画面		1	1		1	1													
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	grid	グリッド		1	1		1	1													
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	search	検索		1	1		0	1													
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	centerClientScreenColList	センタ・荷主別画面グリッドマスタメンテナンスグリッド	grid	1	1		0	1	colCd	列CD	1	text	1	0		0	300			1	300
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	centerClientScreenColList	センタ・荷主別画面グリッドマスタメンテナンスグリッド	grid	1	1		0	1	vdict.dictNm	列名	2	text	1	0		0	300			2	300
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	centerClientScreenColList	センタ・荷主別画面グリッドマスタメンテナンスグリッド	grid	1	1		0	1	visibleName	表示可否	3	text	1	0		0	75			3	75
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	centerClientScreenColList	センタ・荷主別画面グリッドマスタメンテナンスグリッド	grid	1	1		0	1	editableName	編集可否	4	text	1	0		0	75			4	76
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	centerClientScreenColList	センタ・荷主別画面グリッドマスタメンテナンスグリッド	grid	1	1		0	1	necessaryName	必須	5	text	1	0		0	60			5	110
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	centerClientScreenColList	センタ・荷主別画面グリッドマスタメンテナンスグリッド	grid	1	1		0	1	screenColNm	センタ・荷主別 列名	6	text	1	1		0	300			6	300
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	centerClientScreenColList	センタ・荷主別画面グリッドマスタメンテナンスグリッド	grid	1	1		0	1	screenColVisible	センタ・荷主別 表示可否	7	dropdown	1	1		0	205			7	205
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	centerClientScreenColList	センタ・荷主別画面グリッドマスタメンテナンスグリッド	grid	1	1		0	1	screenColEditable	センタ・荷主別 編集可否	8	dropdown	1	1		0	205			8	220
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	centerClientScreenColList	センタ・荷主別画面グリッドマスタメンテナンスグリッド	grid	1	1		0	1	screenColNecessary	センタ・荷主別 必須	9	dropdown	1	1		0	170			9	220
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	register	登録		1	1		0	1													
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	wms	excelOutput	Excel出力		1	1		0	1													
