画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	wms	centerClientCls	センタ・荷主区分		1	1		1	1													
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	wms	centerOrClient	センタ・荷主		1	1		1	1													
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	wms	screen	画面		1	1		1	1													
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	wms	search	検索		1	1		0	1													
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	wms	centerClientScreenItemList	センタ・荷主別画面項目マスタメンテナンスグリッド	grid	1	1		0	1	itemCd	項目CD	1	text	1	0		0	300			1	300
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	wms	centerClientScreenItemList	センタ・荷主別画面項目マスタメンテナンスグリッド	grid	1	1		0	1	vdict.dictNm	項目名	2	text	1	0		0	300			2	300
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	wms	centerClientScreenItemList	センタ・荷主別画面項目マスタメンテナンスグリッド	grid	1	1		0	1	bclassDtlByVisible.vdict.dictNm	表示可否	3	text	1	0		0	75			3	75
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	wms	centerClientScreenItemList	センタ・荷主別画面項目マスタメンテナンスグリッド	grid	1	1		0	1	bclassDtlByEditable.vdict.dictNm	編集可否	4	text	1	0		0	75			4	75
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	wms	centerClientScreenItemList	センタ・荷主別画面項目マスタメンテナンスグリッド	grid	1	1		0	1	bclassDtlByNecessary.vdict.dictNm	必須	5	text	1	0		0	60			5	110
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	wms	centerClientScreenItemList	センタ・荷主別画面項目マスタメンテナンスグリッド	grid	1	1		0	1	screenItemNm	センタ・荷主別 項目名	6	text	1	1		0	300			6	300
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	wms	centerClientScreenItemList	センタ・荷主別画面項目マスタメンテナンスグリッド	grid	1	1		0	1	screenItemVisible	センタ・荷主別 表示可否	7	dropdown	1	1		0	205			7	205
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	wms	centerClientScreenItemList	センタ・荷主別画面項目マスタメンテナンスグリッド	grid	1	1		0	1	screenItemEditable	センタ・荷主別 編集可否	8	dropdown	1	1		0	205			8	220
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	wms	centerClientScreenItemList	センタ・荷主別画面項目マスタメンテナンスグリッド	grid	1	1		0	1	screenItemNecessary	センタ・荷主別 必須	9	dropdown	1	1		0	170			9	220
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	wms	register	登録		1	1		0	1													
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	wms	excelOutput	Excel出力		1	1		0	1													
