画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mclient.clientCd	荷主CD	1	text	1	0		0	75			1	120
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mclient.clientNm	荷主名称	2	text	1	0		0	300			2	300
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.cesIntegrationFlg	CES連携フラグ	3	text	0	0		0	205			3	250
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.bclassDtlByCesIntegrationFlg.vdict.dictNm	CES連携フラグ名称	4	text	0	0		0	205			4	250
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.packingSlipAutoOutputFlg	納品明細書自動発行フラグ	5	text	0	0		0	205			5	250
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.bclassDtlByPackingSlipAutoOutputFlg.vdict.dictNm	納品明細書自動発行フラグ名称	6	text	0	0		0	225			6	250
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.storeNoFlg	入庫No.管理フラグCD	7	text	1	0		0	205			7	250
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.bclassDtlByStoreNoFlg.vdict.dictNm	入庫No.管理フラグ名称	8	text	1	0		0	205			8	260
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.mergeCls	入庫No.マージ区分CD	9	text	1	0		0	205			9	250
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.bclassDtlByMergeCls.vdict.dictNm	入庫No.マージ区分名称	10	text	1	0		0	205			10	255
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.storeDtFlg	入庫日管理フラグCD	11	text	1	0		0	160			11	210
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.bclassDtlByStoreDtFlg.vdict.dictNm	入庫日管理フラグ名称	12	text	1	0		0	160			12	210
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.tkeepingDays	トランザクション保持期間	13	number	1	0	right	0	205			13	240
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.hkeepingDays	履歴保持期間	14	number	1	0	right	0	110			14	220
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.dkeepingDays	削除保持期間	15	number	1	0	right	0	110			15	220
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.overStoreNumFlg	HT/SD過入荷可フラグCD	16	text	1	0		0	225			16	220
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.bclassDtlByOverStoreNumFlg.vdict.dictNm	HT/SD過入荷可フラグ名称	17	text	1	0		0	225			17	220
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.pastStoreDtFlg	HT/SD過去日入力可フラグCD	18	text	1	0		0	260			18	230
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.bclassDtlByPastStoreDtFlg.vdict.dictNm	HT/SD過去日入力可フラグ名称	19	text	1	0		0	260			19	230
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.useHtShipFlg	HT/SDケースピック使用フラグCD	20	text	1	0		0	290			20	230
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.bclassDtlByUseHtShipFlg.vdict.dictNm	HT/SDケースピック使用フラグ名称	21	text	1	0		0	290			21	230
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.htCharReadFlg	HT文字認識使用フラグCD	22	text	1	0		0	210			22	210
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.bclassDtlByHtCharReadFlg.vdict.dictNm	HT文字認識使用フラグ名称	23	text	1	0		0	210			23	210
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.htLotInputType	HTロット入力方式	24	text	1	0		0	300			24	210
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.htSerialInputType	HTシリアル入力方式	25	text	1	0		0	300			25	210
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.inspectionLabelOutFlg	SD検品ラベル出力フラグCD	26	text	1	0		0	225			26	220
CenterMasterEdit	センタマスタメンテナンス(編集)	wms	centerMasterEdit	センタマスタメンテナンスグリッド	grid	1	1		0	1	mparamAsOne.bclassDtlByInspectionLabelOutFlg.vdict.dictNm	SD検品ラベル出力フラグ名称	27	text	1	0		0	225			27	220
