画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
CenterRelatedCopy	センタ関連マスタ作成	wms	copyFrom	コピー元		1	1		0	1													
CenterRelatedCopy	センタ関連マスタ作成	wms	centerCdFrom	センタCD(From)	dropdown	1	1		1	1													
CenterRelatedCopy	センタ関連マスタ作成	wms	clientCdFrom	荷主CD(From)	dropdown	1	1		1	1													
CenterRelatedCopy	センタ関連マスタ作成	wms	copyTo	コピー先		1	1		0	1													
CenterRelatedCopy	センタ関連マスタ作成	wms	centerCdTo	センタCD(To)	dropdown	1	1		1	1													
CenterRelatedCopy	センタ関連マスタ作成	wms	clientCdTo	荷主CD(To)	dropdown	1	1		1	1													
CenterRelatedCopy	センタ関連マスタ作成	wms	copyMasterList	コピー対象マスタ一覧グリッド	grid	1	1		0	1	classDtlCd	コピー対象	1	text	1	0		0	300			1	300
CenterRelatedCopy	センタ関連マスタ作成	wms	copyMasterList	コピー対象マスタ一覧グリッド	grid	1	1		0	1	vdict.dictNm	テーブル名	2	text	1	0		0	300			2	300
CenterRelatedCopy	センタ関連マスタ作成	wms	register	登録		1	1		0	1													
