画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ClientMaster	荷主マスタメンテナンス	wms	clientCd	荷主CD		1	1		0	1													
ClientMaster	荷主マスタメンテナンス	wms	clientNm	荷主名称		1	1		0	1													
ClientMaster	荷主マスタメンテナンス	wms	delFlg	削除		1	1		0	1													
ClientMaster	荷主マスタメンテナンス	wms	search	検索		1	1		0	1													
ClientMaster	荷主マスタメンテナンス	wms	excelOutput	Excel出力		1	1		0	1													
ClientMaster	荷主マスタメンテナンス	wms	clientList	荷主マスタメンテナンスグリッド	grid	1	1		0	1	clientCd	荷主CD	1	text	1	1		1	85			1	130
ClientMaster	荷主マスタメンテナンス	wms	clientList	荷主マスタメンテナンスグリッド	grid	1	1		0	1	clientNm	荷主名称	2	text	1	1		1	300			2	300
ClientMaster	荷主マスタメンテナンス	wms	clientList	荷主マスタメンテナンスグリッド	grid	1	1		0	1	clientAbbr	荷主略称	3	text	1	1		1	170			3	170
ClientMaster	荷主マスタメンテナンス	wms	clientList	荷主マスタメンテナンスグリッド	grid	1	1		0	1	mshapeGrp.shapeGrpCd	在庫管理単位	4	dropdown	1	1		0	200			4	200
ClientMaster	荷主マスタメンテナンス	wms	clientList	荷主マスタメンテナンスグリッド	grid	1	1		0	1	delFlg	削除	5	dropdown	1	1		1	110			5	110
ClientMaster	荷主マスタメンテナンス	wms	addRow	行追加		1	1		0	1													
ClientMaster	荷主マスタメンテナンス	wms	removeRow	行削除		1	1		0	1													
ClientMaster	荷主マスタメンテナンス	wms	register	登録		1	1		0	1													
