画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
CustomerMasterList	特約店マスタメンテナンス(一覧)	wms	clientCd	荷主		1	0		1	1													
CustomerMasterList	特約店マスタメンテナンス(一覧)	wms	customerCd	特約店CD1		1	1		0	1													
CustomerMasterList	特約店マスタメンテナンス(一覧)	wms	specialAgentsCd2	特約店CD2		1	1		0	1													
CustomerMasterList	特約店マスタメンテナンス(一覧)	wms	aName	検索名称		1	1		0	1													
CustomerMasterList	特約店マスタメンテナンス(一覧)	wms	marketType	市場区分		1	1		0	1													
CustomerMasterList	特約店マスタメンテナンス(一覧)	wms	delFlg	削除		1	1		0	1													
CustomerMasterList	特約店マスタメンテナンス(一覧)	wms	search	検索		1	1		0	1													
CustomerMasterList	特約店マスタメンテナンス(一覧)	wms	excelOutput	Excel出力		1	1		0	1													
CustomerMasterList	特約店マスタメンテナンス(一覧)	wms	customerList	取引先マスタ一覧グリッド	grid	1	0		0	1	customerCd	特約店CD1	1	text	1	0		0				1	180
CustomerMasterList	特約店マスタメンテナンス(一覧)	wms	customerList	取引先マスタ一覧グリッド	grid	1	0		0	1	mcustomerSubAsOne.specialAgentsCd2	特約店CD2	2	text	1	0		0				2	180
CustomerMasterList	特約店マスタメンテナンス(一覧)	wms	customerList	取引先マスタ一覧グリッド	grid	1	0		0	1	customerNm	特約店名称	3	text	1	0		0				3	180
CustomerMasterList	特約店マスタメンテナンス(一覧)	wms	customerList	取引先マスタ一覧グリッド	grid	1	0		0	1	mcustomerSubAsOne.name	正式名称	4	text	1	0		0				4	180
CustomerMasterList	特約店マスタメンテナンス(一覧)	wms	customerList	取引先マスタ一覧グリッド	grid	1	0		0	1	customerAbbr	略式名称	5	text	1	0		0				5	180
CustomerMasterList	特約店マスタメンテナンス(一覧)	wms	customerList	取引先マスタ一覧グリッド	grid	1	0		0	1	mcustomerSubAsOne.aname	検索名称	6	text	1	0		0				6	180
CustomerMasterList	特約店マスタメンテナンス(一覧)	wms	customerList	取引先マスタ一覧グリッド	grid	1	0		0	1	mcustomerSubAsOne.ssName	短縮名称	7	text	1	0		0				7	180
