画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
DeliveryCourseShippingList	配送コース別出荷一覧	wms	centerCd	センタ		1	1		1	1													
DeliveryCourseShippingList	配送コース別出荷一覧	wms	clientCd	荷主		1	1		1	1													
DeliveryCourseShippingList	配送コース別出荷一覧	wms	shippingDtFrom	出荷日(From)		1	1		1	1													
DeliveryCourseShippingList	配送コース別出荷一覧	wms	shippingDtTo	出荷日(To)		1	1		1	1													
DeliveryCourseShippingList	配送コース別出荷一覧	wms	deliveryCourseCd	配送コースCD		1	1		0	0													
DeliveryCourseShippingList	配送コース別出荷一覧	wms	carrierCd	運送業者		1	1		0	0													
DeliveryCourseShippingList	配送コース別出荷一覧	wms	pickingBatchNo	出庫指示バッチNo.		1	1		0	0													
DeliveryCourseShippingList	配送コース別出荷一覧	wms	shippingStatus	出荷ステータス		1	1		0	0													
DeliveryCourseShippingList	配送コース別出荷一覧	wms	noAllcDisplayFlg	未出荷全件		1	1		0	0													
DeliveryCourseShippingList	配送コース別出荷一覧	wms	emergencyFlg	緊急のみ		1	1		0	0													
DeliveryCourseShippingList	配送コース別出荷一覧	wms	cancelDisplay	キャンセルデータ表示	dropdown	1	1		0	0													
DeliveryCourseShippingList	配送コース別出荷一覧	wms	search	検索		1	1		0	1													
