画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
EcOrderList	EC受注データ一覧	wms	dtCls	取込日/出荷日/作業日	dropdown	1	1		1	1													
EcOrderList	EC受注データ一覧	wms	dtFrom	日付(From)	text	1	1		1	1													
EcOrderList	EC受注データ一覧	wms	dtTo	日付(To)	text	1	1		1	1													
EcOrderList	EC受注データ一覧	wms	centerCd	センタ	dropdown	1	1		1	1													
EcOrderList	EC受注データ一覧	wms	clientCd	荷主	dropdown	1	1		1	1													
EcOrderList	EC受注データ一覧	wms	orderNo	受注番号	text	1	1		0	1													
EcOrderList	EC受注データ一覧	wms	shippingStatus	出荷ステータス	dropdown	1	1		0	0													
EcOrderList	EC受注データ一覧	wms	importType	取込種別	dropdown	1	1		0	1													
EcOrderList	EC受注データ一覧	wms	deliveryCourseCd	配送コースCD	text	1	1		0	0													
EcOrderList	EC受注データ一覧	wms	pickingWorkNo	出庫作業No.	text	1	1		0	0													
EcOrderList	EC受注データ一覧	wms	statementOutFlg	納品書発行フラグ	dropdown	1	1		0	0													
EcOrderList	EC受注データ一覧	wms	invoiceCreateFlg	EC送り状データ出力	dropdown	1	1		0	0													
EcOrderList	EC受注データ一覧	wms	errorFlg	エラーフラグ	dropdown	1	1		0	0													
EcOrderList	EC受注データ一覧	wms	stockOutFlg	欠品フラグ	dropdown	1	1		0	0													
EcOrderList	EC受注データ一覧	wms	priorityFlg	優先フラグ	dropdown	1	1		0	0													
EcOrderList	EC受注データ一覧	wms	giftFlg	ギフトフラグ	dropdown	1	1		0	0													
EcOrderList	EC受注データ一覧	wms	mergeFlg	名寄せ有無	dropdown	1	1		0	0													
EcOrderList	EC受注データ一覧	wms	mergeId	名寄せID	text	1	1		0	0													
EcOrderList	EC受注データ一覧	wms	noshi	のし	text	1	1		0	0													
EcOrderList	EC受注データ一覧	wms	commentFlg	コメント1有無	dropdown	1	1		0	0													
EcOrderList	EC受注データ一覧	wms	comment1	コメント1		1	1		0	0													
EcOrderList	EC受注データ一覧	wms	comment2	コメント2		1	1		0	0													
EcOrderList	EC受注データ一覧	wms	cancelDisplay	キャンセルデータ表示	dropdown	1	1		0	0													
EcOrderList	EC受注データ一覧	wms	search	検索		1	1		0	1													
EcOrderList	EC受注データ一覧	wms	excelOutput	Excel出力		1	1		0	1													
EcOrderList	EC受注データ一覧	wms	nonShippingTitle	未出荷		1	0		0	1													
EcOrderList	EC受注データ一覧	wms	shippingInstProcessingTitle	出庫指示中		1	0		0	1													
EcOrderList	EC受注データ一覧	wms	shippingInstedTitle	出庫指示済		1	0		0	1													
EcOrderList	EC受注データ一覧	wms	inspectionedTitle	出荷検品済		1	0		0	1													
EcOrderList	EC受注データ一覧	wms	shippingFixedTitle	出荷確定済		1	0		0	1													
EcOrderList	EC受注データ一覧	wms	cancelTitle	キャンセル		1	0		0	1													
EcOrderList	EC受注データ一覧	wms	shippingDeletedTitle	出庫指示削除		1	0		0	1													
EcOrderList	EC受注データ一覧	wms	errorTitle	エラー有		1	0		0	1													
EcOrderList	EC受注データ一覧	wms	shippingStopTitle	出荷停止		1	0		0	1													
EcOrderList	EC受注データ一覧	wms	stockOutFlgTitle	欠品		1	0		0	1													
EcOrderList	EC受注データ一覧	wms	selectedRowTitle	前回選択行		1	0		0	1													
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	mimportType.importTypeCd	取込種別	1	text	1	0		0	160			1	160
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	mimportType.importTypeNm	取込種別名称	2	text	1	0		0	160			2	160
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	importDt	取込日	3	date	1	0		0	105			3	140
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tshippingInstH.shippingDt	出荷日	4	date	1	0		0	105			4	105
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tshippingInstH.workDt	作業日	5	date	1	0		0	105			5	105
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	orderNo	受注番号	6	text	1	0		0	255			6	255
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	mergeIdForDisplay	名寄せID	7	text	1	0		0	110			7	160
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	mergeStatus	名寄せステータス	8	text	1	0		0	140			8	190
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tshippingInstH.tallocInstH.tpickingH.pickingWorkNo	出庫作業No.	9	text	1	0		0	125			9	125
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	comment1	コメント1	10	text	1	0		0	250			10	250
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tshippingInstH.updDt	更新日時	11	datetime	1	0		0	185			11	185
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	comment2	コメント2	12	text	1	0		0	250			12	250
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tshippingInstH.deliveryCourseCd	配送コースCD	13	text	1	0		0	125			13	220
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tshippingInstH.mdeliveryCourse.deliveryCourseNm	配送コース名称	14	text	1	0		0	170			14	220
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tshippingInstH.shippingStatus	出荷ステータス	15	text	1	0		0	125			15	150
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tshippingInstH.bclassDtlByShippingStatus.vdict.dictNm	出荷ステータス名称	16	text	1	0		0	140			16	180
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tshippingInstH.stockOutFlg	欠品フラグ	17	text	1	0		0	90			17	125
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tshippingInstH.bclassDtlByStockOutFlg.vdict.dictNm	欠品フラグ名称	18	text	1	0		0	160			18	170
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tshippingInstH.errorFlg	エラーフラグ	19	text	1	0		0	110			19	110
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tshippingInstH.bclassDtlByErrorFlg.vdict.dictNm	エラーフラグ名称	20	text	1	0		0	160			20	160
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tecOrderRAsOne.statementOutFlg	納品書発行フラグ	21	text	1	0		0	160			21	200
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tecOrderRAsOne.bclassDtlByStatementOutFlg.vdict.dictNm	納品書発行フラグ名称	22	text	1	0		0	170			22	250
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tecOrderRAsOne.invoiceCreateFlg	EC送り状データ出力フラグ	23	text	1	0		0	220			23	220
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	tecOrderRAsOne.bclassDtlByInvoiceCreateFlg.vdict.dictNm	EC送り状データ出力フラグ名称	24	text	1	0		0	250			24	250
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	delivMethod	配送方法	25	text	1	0		0	160			25	160
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	delivType	配送区分	26	text	1	0		0	160			26	160
EcOrderList	EC受注データ一覧	wms	ecOrderListGrid	EC受注データ一覧グリッド	grid	1	0		0	1	delivCompany	配送会社	27	text	1	0		0	160			27	160
