画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
InventoryBulkUpdate	棚卸在庫一括更新	wms	centerCd	センタ		1	1		1	1													
InventoryBulkUpdate	棚卸在庫一括更新	wms	clientCd	荷主		1	1		1	1													
InventoryBulkUpdate	棚卸在庫一括更新	wms	warehouseCd	倉庫		1	1		0	0													
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryDt	棚卸日		1	1		1	1													
InventoryBulkUpdate	棚卸在庫一括更新	wms	depositCd	預託		1	1		0	0													
InventoryBulkUpdate	棚卸在庫一括更新	wms	stockTypeCd	在庫区分		1	1		0	0													
InventoryBulkUpdate	棚卸在庫一括更新	wms	fromLocationCd	ロケーションCD(From)		1	1		0	0													
InventoryBulkUpdate	棚卸在庫一括更新	wms	toLocationCd	ロケーションCD(To)		1	1		0	0													
InventoryBulkUpdate	棚卸在庫一括更新	wms	zoneCd	ゾーン		1	1		0	0													
InventoryBulkUpdate	棚卸在庫一括更新	wms	storeLabelNo	入庫ラベルNo.		1	1		0	0													
InventoryBulkUpdate	棚卸在庫一括更新	wms	productCd	商品CD		1	1		0	0													
InventoryBulkUpdate	棚卸在庫一括更新	wms	stockTakingInput	棚卸入力有		1	1		0	0													
InventoryBulkUpdate	棚卸在庫一括更新	wms	unmatch	アンマッチ有		1	1		0	1													
InventoryBulkUpdate	棚卸在庫一括更新	wms	search	検索		1	1		0	1													
InventoryBulkUpdate	棚卸在庫一括更新	wms	excelOutput	Excel出力		1	1		0	1													
InventoryBulkUpdate	棚卸在庫一括更新	wms	stockChanged	在庫変更あり		1	0	center	0	1													
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	mproduct.productCd	商品CD	1	text	1	0		0	245			1	245
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	mproduct.janCd	ソースCD	2	text	1	0		0	205			2	205
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	mproduct.productNm	商品名称	3	text	1	0		0	300			3	300
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	mproduct.productAbbr	商品略称	4	text	1	0		0	300			4	300
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	productUnit	商品単位	5	text	1	0		0	90			5	90
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	mcustomerByDepositId.customerCd	預託CD	6	text	1	0		0	160			6	160
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	mcustomerByDepositId.customerNm	預託名称	7	text	1	0		0	300			7	300
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	mstockType.stockTypeCd	在庫区分CD	8	text	1	0		0	110			8	190
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	mstockType.vdict.dictNm	在庫区分名称	9	text	1	0		0	110			9	190
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	unitNumBreakdown	入数内訳	10	text	1	0	right	0	220			10	220
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	storeLabelNo	入庫ラベルNo.	11	text	1	0		0	140			11	140
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	mcustomerBySupplierId.customerCd	仕入先CD	12	text	1	0		0	200			12	200
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	mcustomerBySupplierId.customerNm	仕入先名称	13	text	1	0		0	300			13	300
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	mcustomerBySupplierId.customerAbbr	仕入先略称	14	text	1	0		0	250			14	250
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	lot	ロット	15	text	1	0		0	170			15	170
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	limitDt	期限日	16	date	1	0		0	150			16	150
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	mlocation.locationNm	ロケーション名称	17	text	1	0		0	250			17	250
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	storeDt	入庫日	18	date	1	0		0	150			18	150
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	chargeNum	棚卸前引当可能数	19	number	1	0	right	0	140			19	185
InventoryBulkUpdate	棚卸在庫一括更新	wms	inventoryBulkUpdateList	棚卸在庫一括更新グリッド	grid	1	1		0	1	allocNum	棚卸前引当済数	20	number	1	0	right	0	125			20	185
