画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
InventoryHistorySearch	棚卸履歴検索	wms	centerCd	センタ		1	1		1	1													
InventoryHistorySearch	棚卸履歴検索	wms	clientCd	荷主		1	1		1	1													
InventoryHistorySearch	棚卸履歴検索	wms	warehouseCd	倉庫		1	1		0	0													
InventoryHistorySearch	棚卸履歴検索	wms	inventoryDtFrom	棚卸日(From)		1	1		1	1													
InventoryHistorySearch	棚卸履歴検索	wms	inventoryDtTo	棚卸日(To)		1	1		1	1													
InventoryHistorySearch	棚卸履歴検索	wms	depositCd	預託		1	1		0	0													
InventoryHistorySearch	棚卸履歴検索	wms	stockTypeCd	在庫区分		1	1		0	0													
InventoryHistorySearch	棚卸履歴検索	wms	fromLocationCd	ロケーションCD(From)		1	1		0	0													
InventoryHistorySearch	棚卸履歴検索	wms	toLocationCd	ロケーションCD(To)		1	1		0	0													
InventoryHistorySearch	棚卸履歴検索	wms	zoneCd	ゾーン		1	1		0	0													
InventoryHistorySearch	棚卸履歴検索	wms	productCd	商品CD		1	1		0	0													
InventoryHistorySearch	棚卸履歴検索	wms	storeLabelNo	入庫ラベルNo.		1	1		0	0													
InventoryHistorySearch	棚卸履歴検索	wms	search	検索		1	1		0	1													
InventoryHistorySearch	棚卸履歴検索	wms	excelOutput	Excel出力		1	1		0	1													
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	tinventoryH.inventoryDt	棚卸日	1	date	1	0		0	150			1	150
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mlocation.locationNm	ロケーション名称	2	text	1	0		0	250			2	250
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mproduct.productCd	商品CD	3	text	1	0		0	245			3	245
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mproduct.janCd	ソースCD	4	text	1	0		0	205			4	205
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mproduct.productNm	商品名称	5	text	1	0		0	300			5	300
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	productUnit	商品単位	6	text	1	0		0	90			6	90
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	storeLabelNo	入庫ラベルNo.	7	text	1	0		0	140			7	140
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	lot	ロット	8	text	1	0		0	170			8	170
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	limitDt	期限日	9	date	1	0		0	150			9	150
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	storeDt	入庫日	10	date	1	0		0	150			10	150
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mcustomerByDepositId.customerCd	預託CD	11	text	1	0		0	160			11	160
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mcustomerByDepositId.customerNm	預託名称	12	text	1	0		0	300			12	300
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mstockType.stockTypeCd	在庫区分CD	13	text	1	0		0	110			13	190
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mstockType.vdict.dictNm	在庫区分名称	14	text	1	0		0	110			14	190
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mcustomerBySupplierId.customerCd	仕入先CD	15	text	1	0		0	200			15	200
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mcustomerBySupplierId.customerNm	仕入先名称	16	text	1	0		0	300			16	300
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	unitNumBreakdown	入数内訳	17	text	1	0	right	0	220			17	220
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	chargeNum	棚卸前引当可能数	18	number	1	0	right	0	140			18	210
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	allocNum	棚卸前引当済数	19	number	1	0	right	0	125			19	210
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	moveNum	棚卸前作業中数	20	number	1	0	right	0	125			20	210
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	inventoryBeforeBreakdown	棚卸前内訳	21	text	1	0	right	0	200			21	200
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	inventoryNum	棚卸数量	22	number	1	0	right	0	95			22	210
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	inventoryBreakdown	棚卸内訳	23	text	1	0	right	0	200			23	200
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	updUser	入力者	24	text	1	0		0	160			24	160
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	updDt	入力日時	25	datetime	1	0	center	0	180			25	180
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mwarehouse.warehouseCd	倉庫CD	26	text	1	0		0	85			26	160
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mwarehouse.warehouseNm	倉庫名称	27	text	1	0		0	300			27	300
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mlocation.mzone.zoneCd	ゾーンCD	28	text	1	0		0	90			28	120
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mlocation.mzone.zoneNm	ゾーン名称	29	text	1	0		0	170			29	170
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mproduct.productAbbr	商品略称	30	text	1	0		0	300			30	300
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	mcustomerBySupplierId.customerAbbr	仕入先略称	31	text	1	0		0	250			31	250
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	tinventoryH.mclient.clientCd	荷主CD	32	text	1	0		0	200			32	
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	tinventoryH.mclient.clientNm	荷主名称	33	text	1	0		0	200			33	
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	tinventoryH.mcenter.centerCd	センタCD	34	text	1	0		0	200			34	
InventoryHistorySearch	棚卸履歴検索	wms	bodyList	棚卸履歴検索グリッド	grid	1	1		0	1	tinventoryH.mcenter.centerNm	センタ名称	35	text	1	0		0	200			35	
