画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
InventoryInput	在庫調査結果確認	wms	centerCd	拠点		1	0		1	1													
InventoryInput	在庫調査結果確認	wms	clientCd	荷主		1	0		1	1													
InventoryInput	在庫調査結果確認	wms	inventoryInstKbn	在庫調査区分		1	1		1	1													
InventoryInput	在庫調査結果確認	wms	inventoryKeyFlg	在庫調査キーフラグ		1	1		1	1													
InventoryInput	在庫調査結果確認	wms	inventoryInstKey	在庫調査指示キー		1	1		0	1													
InventoryInput	在庫調査結果確認	wms	inventoryInstAddDt	在庫調査指示作成日		1	1		0	1													
InventoryInput	在庫調査結果確認	wms	warehouseCd	倉庫		0	0		0	0													
InventoryInput	在庫調査結果確認	wms	inventoryDtFrom	棚卸日(From)		0	0		0	0													
InventoryInput	在庫調査結果確認	wms	inventoryDtTo	棚卸日(To)		0	0		0	0													
InventoryInput	在庫調査結果確認	wms	depositCd	預託		0	0		0	0													
InventoryInput	在庫調査結果確認	wms	stockTypeCd	在庫区分		0	0		0	0													
InventoryInput	在庫調査結果確認	wms	locationGrp	ロケーショングループ		1	1		0	1													
InventoryInput	在庫調査結果確認	wms	fromLocationCd	ロケーションCD(From)		1	1		0	1													
InventoryInput	在庫調査結果確認	wms	toLocationCd	ロケーションCD(To)		1	1		0	1													
InventoryInput	在庫調査結果確認	wms	zoneCd	ゾーン		0	0		0	0													
InventoryInput	在庫調査結果確認	wms	productCd	銘柄CD		1	1		0	0													
InventoryInput	在庫調査結果確認	wms	storeLabelNo	入庫ラベルNo.		0	0		0	0													
InventoryInput	在庫調査結果確認	wms	capProduct	CAP製品		1	1		0	1													
InventoryInput	在庫調査結果確認	wms	stockTakingInput	棚卸入力有		1	1		0	1													
InventoryInput	在庫調査結果確認	wms	unmatch	アンマッチ有		1	1		0	1													
InventoryInput	在庫調査結果確認	wms	productType	たばこ商品区分		1	1		0	1													
InventoryInput	在庫調査結果確認	wms	search	検索		1	1		0	1													
InventoryInput	在庫調査結果確認	wms	excelOutput	Excel出力		1	1		0	1													
InventoryInput	在庫調査結果確認	wms	inventroyParcentTitle	進捗率		1	0		0	1													
InventoryInput	在庫調査結果確認	wms	inventoryList	棚卸入力グリッド	grid	1	1		0	1	inventoryInstKbn	在庫調査区分	1	text	1	0		0	250			1	250
InventoryInput	在庫調査結果確認	wms	inventoryList	棚卸入力グリッド	grid	1	1		0	1	instructionKey	在庫調査指示キー	2	text	1	0		0	250			2	250
InventoryInput	在庫調査結果確認	wms	inventoryList	棚卸入力グリッド	grid	1	1		0	1	inventoryDt	在庫調査日	3	date	1	0		0	250			3	250
InventoryInput	在庫調査結果確認	wms	inventoryList	棚卸入力グリッド	grid	1	1		0	1	addDt	在庫調査指示作成日時	4	datetime	1	0		0	250			4	250
InventoryInput	在庫調査結果確認	wms	inventoryList	棚卸入力グリッド	grid	1	1		0	1	lineBlock	ライン/ブロック	5	text	1	0		0	250			5	250
InventoryInput	在庫調査結果確認	wms	inventoryList	棚卸入力グリッド	grid	1	1		0	1	directionalPiston	方面ピストン	6	text	1	0		0	250			6	250
