画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
InventoryInputSD	棚卸入力	wms_sd	warehouseCd	倉庫		1	1		0	1													
InventoryInputSD	棚卸入力	wms_sd	inventoryDt	棚卸日		1	1		1	1													
InventoryInputSD	棚卸入力	wms_sd	fromLocationCd	ロケーションCD(From)		1	1		0	1													
InventoryInputSD	棚卸入力	wms_sd	toLocationCd	ロケーションCD(To)		1	1		0	1													
InventoryInputSD	棚卸入力	wms_sd	zoneCd	ゾーン		1	1		0	1													
InventoryInputSD	棚卸入力	wms_sd	stockTakingInput	棚卸入力有		1	1		0	1													
InventoryInputSD	棚卸入力	wms_sd	unmatch	アンマッチ有		1	1		0	1													
InventoryInputSD	棚卸入力	wms_sd	search	検索		1	1		0	1													
InventoryInputSD	棚卸入力	wms_sd	detailTitle	明細		1	1		0	1													
InventoryInputSD	棚卸入力	wms_sd	searchResultTitle	合計件数		1	1		0	1													
InventoryInputSD	棚卸入力	wms_sd	register	登録		1	1		0	1													
InventoryInputSD	棚卸入力	wms_sd	inventoryInputList	棚卸入力リスト明細一覧グリッド	grid	1	0		0	1	mlocation.locationNm	ロケーション名称	1	text	1	0		0					
InventoryInputSD	棚卸入力	wms_sd	inventoryInputList	棚卸入力リスト明細一覧グリッド	grid	1	0		0	1	mproduct.productCd	商品CD	2	text	1	0		0					
InventoryInputSD	棚卸入力	wms_sd	inventoryInputList	棚卸入力リスト明細一覧グリッド	grid	1	0		0	1	mproduct.productAbbr	商品名称	3	text	1	0		0					
InventoryInputSD	棚卸入力	wms_sd	inventoryInputDetail	棚卸入力リスト明細詳細グリッド	grid	1	0		0	1	mlocation.locationNm	ロケーション名称	1	text	1	0		0					
InventoryInputSD	棚卸入力	wms_sd	inventoryInputDetail	棚卸入力リスト明細詳細グリッド	grid	1	0		0	1	mproduct.productCd	商品CD	2	text	1	0		0					
InventoryInputSD	棚卸入力	wms_sd	inventoryInputDetail	棚卸入力リスト明細詳細グリッド	grid	1	0		0	1	mproduct.janCd	ソースCD	3	text	1	0		0					
InventoryInputSD	棚卸入力	wms_sd	inventoryInputDetail	棚卸入力リスト明細詳細グリッド	grid	1	0		0	1	mproduct.productAbbr	商品名称	4	text	1	0		0					
InventoryInputSD	棚卸入力	wms_sd	inventoryInputDetail	棚卸入力リスト明細詳細グリッド	grid	1	1		0	1	productUnit	商品単位	5	text	1	0		0					
InventoryInputSD	棚卸入力	wms_sd	inventoryInputDetail	棚卸入力リスト明細詳細グリッド	grid	1	1		0	1	unitNumBreakdown	入数内訳	6	text	1	0	right	0					
InventoryInputSD	棚卸入力	wms_sd	inventoryInputDetail	棚卸入力リスト明細詳細グリッド	grid	1	1		0	1	inventoryNum	棚卸数量	7	calcnumber	1	1	right	0					
