画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
InventoryReportPrint	在庫調査関連リスト出力	wms	centerCd	拠点		1	0		1	1													
InventoryReportPrint	在庫調査関連リスト出力	wms	clientCd	荷主		1	0		1	1													
InventoryReportPrint	在庫調査関連リスト出力	wms	inventoryReport	出力帳票		1	1		1	1													
InventoryReportPrint	在庫調査関連リスト出力	wms	executedate	在庫調査日		1	1		1	1													
InventoryReportPrint	在庫調査関連リスト出力	wms	inoutkbn	内外区分		1	1		1	1													
InventoryReportPrint	在庫調査関連リスト出力	wms	diffoccarea	過不足報告場所		1	1		0	1													
InventoryReportPrint	在庫調査関連リスト出力	wms	itemcd	銘柄CD		1	1		0	1													
InventoryReportPrint	在庫調査関連リスト出力	wms	capitemflg	CAP製品		1	1		0	1													
InventoryReportPrint	在庫調査関連リスト出力	wms	unmatch	アンマッチ有		1	1		0	1													
InventoryReportPrint	在庫調査関連リスト出力	wms	stockAdjustInst	在庫照合指示		1	1	center	0	1													
InventoryReportPrint	在庫調査関連リスト出力	wms	register	発行		1	1	center	0	1													
