画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
LocationMaster	ロケーションマスタメンテナンス(一覧)	wms	clientCd	荷主		1	0		1	1													
LocationMaster	ロケーションマスタメンテナンス(一覧)	wms	locGroup	ロケーショングループ		1	1		0	1													
LocationMaster	ロケーションマスタメンテナンス(一覧)	wms	locationCd	ロケーションCD		1	1		0	1													
LocationMaster	ロケーションマスタメンテナンス(一覧)	wms	allocNgFlg	引当可否		1	1		0	1													
LocationMaster	ロケーションマスタメンテナンス(一覧)	wms	zone	ゾーン		1	1		0	1													
LocationMaster	ロケーションマスタメンテナンス(一覧)	wms	delFlg	削除		1	1		0	1													
LocationMaster	ロケーションマスタメンテナンス(一覧)	wms	search	検索		1	1		0	1													
LocationMaster	ロケーションマスタメンテナンス(一覧)	wms	excelOutput	Excel出力		1	1		0	1													
LocationMaster	ロケーションマスタメンテナンス(一覧)	wms	locationList	ロケーションマスタメンテナンスグリッド	grid	1	0		0	1	centerCd	拠点CD	1	text	1	0		0				1	
LocationMaster	ロケーションマスタメンテナンス(一覧)	wms	locationList	ロケーションマスタメンテナンスグリッド	grid	1	0		0	1	centerNm	拠点名称	2	text	1	0		0				2	
LocationMaster	ロケーションマスタメンテナンス(一覧)	wms	locationList	ロケーションマスタメンテナンスグリッド	grid	1	0		0	1	locationCd	ロケーションCD	3	text	1	0		0				3	
LocationMaster	ロケーションマスタメンテナンス(一覧)	wms	locationList	ロケーションマスタメンテナンスグリッド	grid	1	0		0	1	locationNm	ロケーション名称	4	text	1	0		0				4	
LocationMaster	ロケーションマスタメンテナンス(一覧)	wms	locationList	ロケーションマスタメンテナンスグリッド	grid	1	0		0	1	locGroupNm	ロケーショングループ	5	text	1	0		0				5	
