画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
MatchingMaster	マッチングマスタメンテナンス	wms	matchingType	マッチング種類	text	1	1		0	1													
MatchingMaster	マッチングマスタメンテナンス	wms	matchingKeyword	マッチングキーワード	text	1	1		0	1													
MatchingMaster	マッチングマスタメンテナンス	wms	transformCd	変換CD	text	1	1		0	1													
MatchingMaster	マッチングマスタメンテナンス	wms	search	検索		1	1		0	1													
MatchingMaster	マッチングマスタメンテナンス	wms	matchingListGrid	マッチングマスタメンテナンスグリッド	grid	1	1		0	1	matchingType	マッチング種類	1	text	1	1		1	300				
MatchingMaster	マッチングマスタメンテナンス	wms	matchingListGrid	マッチングマスタメンテナンスグリッド	grid	1	1		0	1	matchingKeyword	マッチングキーワード	2	text	1	1		1	300				
MatchingMaster	マッチングマスタメンテナンス	wms	matchingListGrid	マッチングマスタメンテナンスグリッド	grid	1	1		0	1	transformCd	変換CD	3	text	1	1		1	300				
MatchingMaster	マッチングマスタメンテナンス	wms	matchingListGrid	マッチングマスタメンテナンスグリッド	grid	1	1		0	1	delFlg	削除	4	dropdown	1	1		0	110				
MatchingMaster	マッチングマスタメンテナンス	wms	addRow	行追加		1	1		0	1													
MatchingMaster	マッチングマスタメンテナンス	wms	removeRow	行削除		1	1		0	1													
MatchingMaster	マッチングマスタメンテナンス	wms	register	登録		1	1		0	1													
