画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	centerCd	拠点		1	0		1	1													
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	clientCd	荷主		1	0		1	1													
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	productCd	銘柄CD		1	1		0	1													
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	sotedunit	補充先		1	1		0	1													
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	delFlg	削除		1	1		0	1													
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	search	検索		1	1		0	1													
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	excelOutput	Excel出力		1	1		0	1													
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	searchResultList	月替り・デザイン変更情報マスタメンテナンスグリッド	grid	1	1		1	0	productCd	銘柄CD	1	text	1	1		1				1	
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	searchResultList	月替り・デザイン変更情報マスタメンテナンスグリッド	grid	1	0		0	0	productNm	銘柄名称	2	text	1	0		0				2	
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	searchResultList	月替り・デザイン変更情報マスタメンテナンスグリッド	grid	1	1		1	0	sotedunit	補充先	3	dropdown	1	1		1				3	
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	searchResultList	月替り・デザイン変更情報マスタメンテナンスグリッド	grid	1	1		1	0	limitdate	製造年月日	4	date	1	1		1				4	
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	searchResultList	月替り・デザイン変更情報マスタメンテナンスグリッド	grid	1	1		1	0	designflg	デザイン区分	5	dropdown	1	1		1				5	
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	searchResultList	月替り・デザイン変更情報マスタメンテナンスグリッド	grid	1	1		0	0	sotedloc	仕分ロケ	6	text	1	1		0				6	
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	searchResultList	月替り・デザイン変更情報マスタメンテナンスグリッド	grid	1	0		0	0	picklistkey	山出しリストキー	7	text	1	0		0				7	
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	searchResultList	月替り・デザイン変更情報マスタメンテナンスグリッド	grid	1	0		0	0	picklistgno	山出しリスト明細行No.	8	number	1	0	right	0				8	
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	searchResultList	月替り・デザイン変更情報マスタメンテナンスグリッド	grid	1	0		0	0	updDt	更新日時	9	datetime	1	0		0				9	
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	searchResultList	月替り・デザイン変更情報マスタメンテナンスグリッド	grid	1	0		0	0	updUser	更新者	10	text	1	0		0				10	
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	searchResultList	月替り・デザイン変更情報マスタメンテナンスグリッド	grid	1	1		1	0	delFlg	削除	11	dropdown	1	1		1				11	
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	addRow	行追加		1	1		0	1													
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	deleteRow	行削除		1	1		0	1													
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	copyRow	行複製		1	1		0	1													
MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタメンテナンス	wms	register	登録		1	1		0	1													
