画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
OrderPickingSD	オーダーピッキング	wms_sd	takingShippingFlg	作業日/出荷日		1	1		1	1													
OrderPickingSD	オーダーピッキング	wms_sd	dtFrom	日付(From)		1	1		1	1													
OrderPickingSD	オーダーピッキング	wms_sd	dtTo	日付(To)		1	1		1	1													
OrderPickingSD	オーダーピッキング	wms_sd	pickingBatchNo	出庫指示バッチNo.		1	1		0	1													
OrderPickingSD	オーダーピッキング	wms_sd	pickingWorkNo	出庫作業No.		1	1		0	1													
OrderPickingSD	オーダーピッキング	wms_sd	shippingPackingNo	出荷梱包No.		1	1		0	1													
OrderPickingSD	オーダーピッキング	wms_sd	supplyCustomerCd	納品先CD		1	1		0	1													
OrderPickingSD	オーダーピッキング	wms_sd	emergencyFlg	緊急のみ		1	1		0	1													
OrderPickingSD	オーダーピッキング	wms_sd	noStockOutFlg	欠品フラグ		1	1		0	1													
OrderPickingSD	オーダーピッキング	wms_sd	deliveryCourseCd	配送コースCD	text	1	1		0	1													
OrderPickingSD	オーダーピッキング	wms_sd	updUser	担当者CD		1	1		0	1													
OrderPickingSD	オーダーピッキング	wms_sd	search	検索		1	1		0	1													
