画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
PackingList	梱包明細一覧	wms	centerCd	センタ		1	1		1	1													
PackingList	梱包明細一覧	wms	clientCd	荷主		1	1		1	1													
PackingList	梱包明細一覧	wms	pickingWorkNo	出庫作業No.		1	1		0	1													
PackingList	梱包明細一覧	wms	takingShippingDtFlg	作業日/出荷日/納品日		1	1		1	1													
PackingList	梱包明細一覧	wms	dtFrom	日付(From)		1	1		1	1													
PackingList	梱包明細一覧	wms	dtTo	日付(To)		1	1		1	1													
PackingList	梱包明細一覧	wms	deliveryCourseCd	配送コースCD		1	1		0	1													
PackingList	梱包明細一覧	wms	carrierCd	運送業者		1	1		0	1													
PackingList	梱包明細一覧	wms	supplyCustomerCd	納品先CD		1	1		0	0													
PackingList	梱包明細一覧	wms	delivCustomerCd	届先CD		1	1		0	0													
PackingList	梱包明細一覧	wms	carrierTraceNum	貨物追跡No.		1	1		0	0													
PackingList	梱包明細一覧	wms	clientShippingNo	顧客出荷指示No.		1	1		0	0													
PackingList	梱包明細一覧	wms	search	検索		1	1		0	1													
PackingList	梱包明細一覧	wms	excelOutput	Excel出力		1	1		0	1													
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.tpickingH.pickingWorkNo	出庫作業No.	1	text	1	0		0	125				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.mbox.boxCd	荷材CD	2	text	1	0		0	160				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.mbox.boxNm	荷材名称	3	text	1	0		0	300				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tallocInstB.mproduct.productCd	商品CD	4	text	1	0		0	245				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tallocInstB.mproduct.janCd	ソースCD	5	text	1	0		0	205				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tallocInstB.mproduct.productNm	商品名称	6	text	1	0		0	300				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tallocInstB.mproduct.productAbbr	商品略称	7	text	1	0		0	300				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	packingNum	投入数	8	number	1	0	right	0	85				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.shippingPackingNo	出荷梱包No.	9	text	1	0		0	150				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.tpickingH.pickingStatus	出庫ステータス	10	text	1	0		0	125				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.tpickingH.bclassDtlByPickingStatus.vdict.dictNm	出庫ステータス名称	11	text	1	0		0	155				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.tallocInstH.workDt	作業日	12	date	1	0		0	150				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.tallocInstH.shippingDt	出荷日	13	date	1	0		0	150				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.tallocInstH.delivDt	納品指定日	14	date	1	0		0	150				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.tallocInstH.supplyCustomerCd	納品先CD	15	text	1	0		0	200				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.tallocInstH.supplyCustomerNm	納品先名称	16	text	1	0		0	300				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.tallocInstH.mcustomerBySupplyCustomerId.customerAbbr	納品先略称	17	text	1	0		0	300				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.tallocInstH.delivCustomerCd	届先CD	18	text	1	0		0	200				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.tallocInstH.delivCustomerNm	届先名称	19	text	1	0		0	300				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	clientShippingNo	顧客出荷指示No.	20	text	1	0		0	260				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.tallocInstH.mdeliveryCourse.deliveryCourseCd	配送コースCD	21	text	1	0		0	125				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.tallocInstH.mdeliveryCourse.deliveryCourseNm	配送コース名称	22	text	1	0		0	300				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.tallocInstH.mdeliveryCourse.mcarrier.carrierCd	運送業者CD	23	text	1	0		0	110				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.tallocInstH.mdeliveryCourse.mcarrier.carrierNm	運送業者名称	24	text	1	0		0	300				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.carrierTraceNum	貨物追跡No.	25	text	1	0		0	150				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.mixedFlg	混載フラグ	26	text	1	0		0	90				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.bclassDtlByMixedFlg.vdict.dictNm	混載フラグ名称	27	text	1	0		0	160				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	casePickingNo	ケースピッキングNo.	28	text	1	0		0	150				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.loadingFlg	積込フラグ	29	text	1	0		0	90				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.bclassDtlByLoadingFlg.vdict.dictNm	積込フラグ名称	30	text	1	0		0	160				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.mclient.clientCd	荷主CD	31	text	1	0		0	200				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.mclient.clientNm	荷主名称	32	text	1	0		0	200				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.mcenter.centerCd	センタCD	33	text	1	0		0	200				
PackingList	梱包明細一覧	wms	packingList	梱包明細一覧グリッド	grid	1	1		0	1	tpackingH.mcenter.centerNm	センタ名称	34	text	1	0		0	200				
