画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ParameterMasterEdit	パラメータマスタメンテナンス(編集)	wms	centerCd	センタ	dropdown	1	0		1	1													
ParameterMasterEdit	パラメータマスタメンテナンス(編集)	wms	clientCd	荷主	dropdown	1	1		1	1													
ParameterMasterEdit	パラメータマスタメンテナンス(編集)	wms	delFlg	削除	dropdown	1	1		1	1													
ParameterMasterEdit	パラメータマスタメンテナンス(編集)	wms	titleStockManage	在庫管理		1	0		0	1													
ParameterMasterEdit	パラメータマスタメンテナンス(編集)	wms	storeNoFlg	入庫No.管理フラグ	dropdown	1	1		1	1													
ParameterMasterEdit	パラメータマスタメンテナンス(編集)	wms	mergeCls	入庫No.マージ区分	dropdown	1	1		1	1													
ParameterMasterEdit	パラメータマスタメンテナンス(編集)	wms	storeDtFlg	入庫日管理フラグ	dropdown	1	1		1	1													
ParameterMasterEdit	パラメータマスタメンテナンス(編集)	wms	titleDaily	日次締処理		1	0		0	1													
ParameterMasterEdit	パラメータマスタメンテナンス(編集)	wms	tkeepingDays	トランザクション保持期間	number	1	1	right	1	1													
ParameterMasterEdit	パラメータマスタメンテナンス(編集)	wms	hkeepingDays	履歴保持期間	number	1	1	right	1	1													
