画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
PickingMethodRecommendation	ピッキング提案	wms	centerCd	センタ		1	1		1	1													
PickingMethodRecommendation	ピッキング提案	wms	clientCd	荷主		1	1		1	1													
PickingMethodRecommendation	ピッキング提案	wms	search	検索		1	1		0	1													
PickingMethodRecommendation	ピッキング提案	wms	excelOutput	Excel出力		1	1		0	1													
PickingMethodRecommendation	ピッキング提案	wms	emergencyTitle	緊急		1	0		0	1													
PickingMethodRecommendation	ピッキング提案	wms	pickingMethodRecommendationList	ピッキング提案グリッド	grid	1	1		0	1	pickingBatchNo	バッチNo.	1	text	1	0		0	90				
PickingMethodRecommendation	ピッキング提案	wms	pickingMethodRecommendationList	ピッキング提案グリッド	grid	1	1		0	1	bclassDtlByRcmdPickingCls.vdict.dictNm	提案ピッキング方法	2	text	1	0		0	230				
PickingMethodRecommendation	ピッキング提案	wms	pickingMethodRecommendationList	ピッキング提案グリッド	grid	1	1		0	1	packingNum	梱包数	3	number	1	0	right	0	60				
PickingMethodRecommendation	ピッキング提案	wms	pickingMethodRecommendationList	ピッキング提案グリッド	grid	1	1		0	1	workVolume	仕事量	4	number	1	0	right	0	90				
PickingMethodRecommendation	ピッキング提案	wms	pickingMethodRecommendationList	ピッキング提案グリッド	grid	1	1		0	1	deliveryCourseCd	配送コースCD	5	text	1	0		0	125				
PickingMethodRecommendation	ピッキング提案	wms	pickingMethodRecommendationList	ピッキング提案グリッド	grid	1	1		0	1	deliveryCourseNm	配送コース名称	6	text	1	0		0	300				
PickingMethodRecommendation	ピッキング提案	wms	pickingMethodRecommendationList	ピッキング提案グリッド	grid	1	1		0	1	carrierCd	運送業者CD	7	text	1	0		0	125				
PickingMethodRecommendation	ピッキング提案	wms	pickingMethodRecommendationList	ピッキング提案グリッド	grid	1	1		0	1	carrierNm	運送業者名称	8	text	1	0		0	300				
PickingMethodRecommendation	ピッキング提案	wms	pickingMethodRecommendationList	ピッキング提案グリッド	grid	1	1		0	1	bclassDtlByEmergencyFlg.vdict.dictNm	緊急フラグ	9	text	1	0		0	90				
PickingMethodRecommendation	ピッキング提案	wms	recommendationAgain	再提案		1	1		0	1													
PickingMethodRecommendation	ピッキング提案	wms	detail	明細		1	1		0	1													
PickingMethodRecommendation	ピッキング提案	wms	issue	発行		1	1		0	1													
