画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
PieceShippingInspect	出荷検品	wms	centerCd	センタ		1	0		1	1													
PieceShippingInspect	出荷検品	wms	userCd	ユーザCD		1	1		1	1													
PieceShippingInspect	出荷検品	wms	pickingWorkNo	出庫作業No./出荷梱包No.		1	1		1	1													
PieceShippingInspect	出荷検品	wms	deliveryCourseCd	配送コースCD		1	0		0	1													
PieceShippingInspect	出荷検品	wms	supplyCustomerCd	納品先CD		1	0		0	1													
PieceShippingInspect	出荷検品	wms	carrierCd	運送業者CD		1	0		0	1													
PieceShippingInspect	出荷検品	wms	search	検索		1	1		0	1													
PieceShippingInspect	出荷検品	wms	excelOutput	Excel出力		1	1		0	1													
PieceShippingInspect	出荷検品	wms	janCd	ソースCD/商品CD		1	1		0	1													
PieceShippingInspect	出荷検品	wms	productCd	商品CD		1	0		0	1													
PieceShippingInspect	出荷検品	wms	productUnit	商品単位		1	0		0	1													
PieceShippingInspect	出荷検品	wms	shippingPackingNo	合計口数		1	0	right	0	1													
PieceShippingInspect	出荷検品	wms	instNumT	検品数		1	0		0	1													
PieceShippingInspect	出荷検品	wms	spgQtyOnsT	検品済数		1	0		0	1													
PieceShippingInspect	出荷検品	wms	instSu	指示数		1	0		0	1													
PieceShippingInspect	出荷検品	wms	instNum	総検品数		1	0		0	1													
PieceShippingInspect	出荷検品	wms	spgQtyOns	検品済総数		1	0		0	1													
PieceShippingInspect	出荷検品	wms	registerBox	箱登録		1	1		0	1													
PieceShippingInspect	出荷検品	wms	interrupt	出荷検品中断		1	1		0	1													
PieceShippingInspect	出荷検品	wms	clear	クリア		1	1		0	1													
PieceShippingInspect	出荷検品	wms	shpCheckDisplay	未検品のみ表示		1	1		0	1													
PieceShippingInspect	出荷検品	wms	status	ステータス		1	0		0	1													
PieceShippingInspect	出荷検品	wms	pieceShippingInspectList	出荷検品グリッド	grid	1	1		0	1	janCd	ソースCD	1	text	1	0		0	205			1	205
PieceShippingInspect	出荷検品	wms	pieceShippingInspectList	出荷検品グリッド	grid	1	1		0	1	productCd	商品CD	2	text	1	0		0	245			2	245
PieceShippingInspect	出荷検品	wms	pieceShippingInspectList	出荷検品グリッド	grid	1	1		0	1	productNm	商品名称	3	text	1	0		0	300			3	300
PieceShippingInspect	出荷検品	wms	pieceShippingInspectList	出荷検品グリッド	grid	1	1		0	1	productAbbr	商品略称	4	text	1	0		0	300			4	300
PieceShippingInspect	出荷検品	wms	pieceShippingInspectList	出荷検品グリッド	grid	1	1		0	1	productUnit	商品単位	5	text	1	0		0	90			5	90
PieceShippingInspect	出荷検品	wms	pieceShippingInspectList	出荷検品グリッド	grid	1	1		0	1	instNum	指示数	6	number	1	0	right	0	95			6	120
PieceShippingInspect	出荷検品	wms	pieceShippingInspectList	出荷検品グリッド	grid	1	1		0	1	spgQtyOns	検品済数	7	number	1	0	right	0	95			7	150
PieceShippingInspect	出荷検品	wms	pieceShippingInspectList	出荷検品グリッド	grid	1	1		0	1	spgQtyRemain	検品残数	8	number	1	0	right	0	95			8	150
PieceShippingInspect	出荷検品	wms	pieceShippingInspectList	出荷検品グリッド	grid	1	1		0	1	shippingPackingNo	個口番号	9	number	1	0	right	0	150			9	150
PieceShippingInspect	出荷検品	wms	pieceShippingInspectList	出荷検品グリッド	grid	1	1		0	1	netWeight	単重量(グロス)(g)	10	number	1	0	right	0	190			10	190
PieceShippingInspect	出荷検品	wms	pieceShippingInspectList	出荷検品グリッド	grid	1	1		0	1	grossWeight	総重量(グロス)(g)	11	number	1	0	right	0	190			11	190
PieceShippingInspect	出荷検品	wms	pieceShippingInspectList	出荷検品グリッド	grid	1	1		0	1	shpCheckDisplay	(非表示項目)	12	number	0	0	right	0	150			12	150
PieceShippingInspect	出荷検品	wms	registerSu	数量入力		1	1		0	1													
PieceShippingInspect	出荷検品	wms	clientCd	荷主		1	0		1	1													
