画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ProductMasterList	商品マスタメンテナンス(一覧)	wms	clientCd	荷主		1	1		1	1													
ProductMasterList	商品マスタメンテナンス(一覧)	wms	productCd	商品CD		1	1		0	1													
ProductMasterList	商品マスタメンテナンス(一覧)	wms	janCd	ソースCD		1	1		0	1													
ProductMasterList	商品マスタメンテナンス(一覧)	wms	productNm	商品名称		1	1		0	1													
ProductMasterList	商品マスタメンテナンス(一覧)	wms	productList	商品マスタ一覧グリッド	grid	1	1		1	1	productCd	商品CD	1	text	1	0		0	245			1	245
ProductMasterList	商品マスタメンテナンス(一覧)	wms	productList	商品マスタ一覧グリッド	grid	1	1		1	1	productNm	商品名称	2	text	1	0		0	300			2	300
ProductMasterList	商品マスタメンテナンス(一覧)	wms	productList	商品マスタ一覧グリッド	grid	1	1		1	1	productAbbr	商品略称	3	text	1	0		0	300			3	300
ProductMasterList	商品マスタメンテナンス(一覧)	wms	productList	商品マスタ一覧グリッド	grid	1	1		1	1	nmfcCode	NMFC Code	4	text	0	0		0	205			4	205
ProductMasterList	商品マスタメンテナンス(一覧)	wms	productList	商品マスタ一覧グリッド	grid	1	1		1	1	freightCls	Freight Class	5	text	0	0		0	205			5	260
ProductMasterList	商品マスタメンテナンス(一覧)	wms	productList	商品マスタ一覧グリッド	grid	1	1		1	1	bclassDtlByFreightCls.vdict.dictNm	Freight Class名称	6	text	0	0		0	205			6	260
ProductMasterList	商品マスタメンテナンス(一覧)	wms	productList	商品マスタ一覧グリッド	grid	1	1		1	1	counntryOfOrigin	Country of Origin	7	text	0	0		0	205			7	205
ProductMasterList	商品マスタメンテナンス(一覧)	wms	productList	商品マスタ一覧グリッド	grid	1	1		1	1	unitVal	Unit Value	8	number	0	0	right	0	155			8	155
ProductMasterList	商品マスタメンテナンス(一覧)	wms	productList	商品マスタ一覧グリッド	grid	1	1		1	1	htsCd	Harmonized Code	9	text	0	0		0	205			9	205
ProductMasterList	商品マスタメンテナンス(一覧)	wms	productList	商品マスタ一覧グリッド	grid	1	1		1	1	inventoryManagementUnitCd	在庫管理単位CD	10	text	1	0		0	170			10	170
