画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ProductReceiveList	商品別入荷一覧	wms	centerCd	センタ		1	1		1	1													
ProductReceiveList	商品別入荷一覧	wms	clientCd	荷主		1	1		1	1													
ProductReceiveList	商品別入荷一覧	wms	receivePlanDtFrom	入荷予定日(From)		1	1		0	1													
ProductReceiveList	商品別入荷一覧	wms	receivePlanDtTo	入荷予定日(To)		1	1		0	1													
ProductReceiveList	商品別入荷一覧	wms	warehouseCd	倉庫		1	1		0	0													
ProductReceiveList	商品別入荷一覧	wms	storeDtFrom	入庫日(From)		1	1		0	0													
ProductReceiveList	商品別入荷一覧	wms	storeDtTo	入庫日(To)		1	1		0	0													
ProductReceiveList	商品別入荷一覧	wms	receiveStatus	商品別入荷ステータス		1	1		0	0													
ProductReceiveList	商品別入荷一覧	wms	planSupplierCd	予定仕入先CD		1	1		0	0													
ProductReceiveList	商品別入荷一覧	wms	productCd	商品CD		1	1		0	0													
ProductReceiveList	商品別入荷一覧	wms	clientReceiveNo	予定顧客入荷指示No.		1	1		0	0													
ProductReceiveList	商品別入荷一覧	wms	storeClientReceiveNo	顧客入荷指示No.		1	1		0	0													
ProductReceiveList	商品別入荷一覧	wms	receiveSlipNo	WMS入荷伝票No.		1	1		0	0													
ProductReceiveList	商品別入荷一覧	wms	clientOrderNo	予定顧客発注No.		1	1		0	0													
ProductReceiveList	商品別入荷一覧	wms	storeClientOrderNo	顧客発注No.		1	1		0	0													
ProductReceiveList	商品別入荷一覧	wms	deleteDisplay	削除データ表示		1	1		0	0													
ProductReceiveList	商品別入荷一覧	wms	search	検索		1	1		0	1													
ProductReceiveList	商品別入荷一覧	wms	excelOutput	Excel出力		1	1		0	1													
ProductReceiveList	商品別入荷一覧	wms	nonReceive	未入荷		1	0		0	1													
ProductReceiveList	商品別入荷一覧	wms	receiving	入荷中		1	0		0	1													
ProductReceiveList	商品別入荷一覧	wms	store	入荷済		1	0		0	1													
ProductReceiveList	商品別入荷一覧	wms	receiveDelete	入荷削除		1	0		0	1													
ProductReceiveList	商品別入荷一覧	wms	error	エラー有		1	0		0	1													
ProductReceiveList	商品別入荷一覧	wms	expired	入荷期限切れ	text	1	0		0	1													
