画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ReceiveInput	入荷実績入力(予定あり)	wms	clientCd	荷主		1	0		1	1													
ReceiveInput	入荷実績入力(予定あり)	wms	centerCd	センタ		1	0		1	1													
ReceiveInput	入荷実績入力(予定あり)	wms	processTypeCd	処理区分		1	1		1	1													
ReceiveInput	入荷実績入力(予定あり)	wms	planSupplierCd	仕入先CD		1	1		1	1													
ReceiveInput	入荷実績入力(予定あり)	wms	receivePlanDt	入荷日		1	1		1	1													
ReceiveInput	入荷実績入力(予定あり)	wms	clientReceiveNo	顧客入荷指示No.		1	1		0	1													
ReceiveInput	入荷実績入力(予定あり)	wms	receiveSlipNo	WMS入荷伝票No.		1	0		0	1													
ReceiveInput	入荷実績入力(予定あり)	wms	planDepositCd	預託		1	1		1	1													
ReceiveInput	入荷実績入力(予定あり)	wms	storeRecordHComment	入庫実績ヘッダ備考		1	1		0	1													
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	treceivePlanB.lineNo	No.	1	number	1	0	right	0	60			1	60
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	treceivePlanB.productCd	商品CD	2	text	1	0		0	245			2	245
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	mlocation.locationCd	ロケーションCD	3	text	1	1		0	200			3	200
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	treceivePlanB.mproduct.janCd	ソースCD	4	text	1	0		0	205			4	205
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	treceivePlanB.mproduct.productNm	商品名称	5	text	1	0		0	300			5	300
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	treceivePlanB.mproduct.productAbbr	商品略称	6	text	1	0		0	300			6	300
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	treceivePlanB.planNum	総予定数	7	number	1	0	right	0	150			7	150
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	unitNumBreakdown	入数内訳	8	text	1	0	right	0	220			8	220
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	storeNum	入庫数	9	calcnumber	1	1	right	1	290			9	290
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	storeNumMultiText	入庫数荷姿	10	number	0	1	right	0	110			10	110
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	limitDt	期限日	11	date	1	1		0	150			11	150
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	maxLimitDt	入荷期限日	12	date	1	0		0	130			12	180
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	lot	ロット	13	text	1	1		0	170			13	170
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	clientOrderNo	顧客発注No.	14	text	1	1		0	210			14	210
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	storeLabelNo	入庫ラベルNo.	15	text	1	1		0	140			15	140
ReceiveInput	入荷実績入力(予定あり)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	storeRecordBComment	入庫実績ボディ備考	16	text	1	1		0	300			16	300
ReceiveInput	入荷実績入力(予定あり)	wms	addRow	明細分割		1	1		0	1													
ReceiveInput	入荷実績入力(予定あり)	wms	removeRow	分割解除		1	1		0	1													
ReceiveInput	入荷実績入力(予定あり)	wms	register	登録		1	1		0	1													
ReceiveInput	入荷実績入力(予定あり)	wms	receiveCancel	入荷取消		1	1		0	1													
ReceiveInput	入荷実績入力(予定あり)	wms	planClientReceiveNo	予定顧客入荷指示No.		1	0		0	1													
ReceiveInput	入荷実績入力(予定あり)	wms	stockTypeCd	在庫区分	dropdown	1	1		1	1													
