画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ReceiveInputNo	入荷実績入力(予定なし)	wms	clientCd	荷主		1	1		1	1													
ReceiveInputNo	入荷実績入力(予定なし)	wms	centerCd	センタ		1	1		1	1													
ReceiveInputNo	入荷実績入力(予定なし)	wms	processTypeCd	処理区分		1	1		1	1													
ReceiveInputNo	入荷実績入力(予定なし)	wms	planSupplierCd	仕入先CD		1	1		1	1													
ReceiveInputNo	入荷実績入力(予定なし)	wms	receivePlanDt	入荷日		1	1		1	1													
ReceiveInputNo	入荷実績入力(予定なし)	wms	clientReceiveNo	顧客入荷指示No.		1	1		0	1													
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveSlipNo	WMS入荷伝票No.		1	0		0	1													
ReceiveInputNo	入荷実績入力(予定なし)	wms	planDepositCd	預託		1	1		1	1													
ReceiveInputNo	入荷実績入力(予定なし)	wms	storeRecordHComment	入庫実績ヘッダ備考		1	1		0	1													
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	treceivePlanB.lineNo	No.	1	number	1	0	right	0	60			1	60
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	treceivePlanB.productCd	商品CD	2	text	1	1		1	245			2	245
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	treceivePlanB.mproduct.productNm	商品名称	3	text	1	0		0	300			3	300
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	treceivePlanB.mproduct.productAbbr	商品略称	4	text	1	0		0	300			4	300
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	treceivePlanB.mproduct.janCd	ソースCD	5	text	1	0		0	205			5	205
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	treceivePlanB.planLocationCd	ロケーションCD	6	text	1	1		1	200			6	200
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	unitNumBreakdown	入数内訳	7	text	1	0	right	0	220			7	220
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	storeNum	入庫数	8	calcnumber	1	1	right	1	290			8	290
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	storeNumMultiText	入庫数荷姿	9	number	0	1	right	0	110			9	110
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	limitDt	期限日	10	date	1	1		0	150			10	150
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	maxLimitDt	入荷期限日	11	date	1	0		0	130			11	170
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	lot	ロット	12	text	1	1		0	170			12	170
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	clientOrderNo	顧客発注No.	13	text	1	1		0	210			13	210
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	treceivePlanB.planStoreLabelNo	入庫ラベルNo.	14	text	1	1		0	140			14	140
ReceiveInputNo	入荷実績入力(予定なし)	wms	receiveInputB	入荷実績入力グリッド	grid	1	1		0	1	storeRecordBComment	入庫実績ボディ備考	15	text	1	1		0	300			15	300
ReceiveInputNo	入荷実績入力(予定なし)	wms	addRow	行追加		1	1		0	1													
ReceiveInputNo	入荷実績入力(予定なし)	wms	removeRow	行削除		1	1		0	1													
ReceiveInputNo	入荷実績入力(予定なし)	wms	register	登録		1	1		0	1													
ReceiveInputNo	入荷実績入力(予定なし)	wms	stockTypeCd	在庫区分	dropdown	1	1		1	1													
