画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ReceiveInspectionSD	入荷検品	wms_sd	receivePlanDtFrom	入荷予定日(From)		1	1		0	1													
ReceiveInspectionSD	入荷検品	wms_sd	receivePlanDtTo	入荷予定日(To)		1	1		0	1													
ReceiveInspectionSD	入荷検品	wms_sd	receiveStatus	入荷ステータス		1	1		0	1													
ReceiveInspectionSD	入荷検品	wms_sd	planSupplierCd	仕入先CD		1	1		0	1													
ReceiveInspectionSD	入荷検品	wms_sd	productCd	商品CD		1	1		0	1													
ReceiveInspectionSD	入荷検品	wms_sd	clientReceiveNo	予定顧客入荷指示No.		1	1		0	1													
ReceiveInspectionSD	入荷検品	wms_sd	preEntry	仮入力		1	0		0	1													
ReceiveInspectionSD	入荷検品	wms_sd	locationCd	ロケーションCD		1	1		0	1													
ReceiveInspectionSD	入荷検品	wms_sd	search	検索		1	1		0	1													
ReceiveInspectionSD	入荷検品	wms_sd	detailTitle	明細		1	1		0	1													
ReceiveInspectionSD	入荷検品	wms_sd	searchResultTitle	合計件数		1	1		0	1													
ReceiveInspectionSD	入荷検品	wms_sd	register	登録		1	1		0	1													
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionList	入荷検品リスト明細一覧グリッド	grid	1	1		0	1	treceivePlanB.bclassDtlByReceiveStatus.vdict.dictNm	入荷ステータス名称	1	text	1	0		0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionList	入荷検品リスト明細一覧グリッド	grid	1	1		0	1	treceivePlanB.mproduct.productAbbr	商品名称	2	text	1	0		0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionList	入荷検品リスト明細一覧グリッド	grid	1	1		0	1	treceivePlanB.planNum	予定数	3	number	1	0	right	0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionList	入荷検品リスト明細一覧グリッド	grid	1	1		0	1	maxLimitDt	入荷期限日	4	date	1	0		0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	treceivePlanB.receiveStatus	入荷ステータス	1	text	1	0		0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	treceivePlanB.bclassDtlByReceiveStatus.vdict.dictNm	入荷ステータス名称	2	text	1	0		0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	treceivePlanB.productCd	商品CD	3	text	1	0		0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	mlocation.locationCd	ロケーションCD	4	text	1	1		0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	treceivePlanB.mproduct.janCd	ソースCD	5	text	1	0		0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	treceivePlanB.mproduct.productAbbr	商品名称	6	text	1	0		0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	productUnit	商品単位	7	text	1	0		0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	unitNumBreakdown	入数内訳	8	text	1	0	right	0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	treceivePlanB.planNum	予定数	9	number	1	0	right	0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	planBreakdown	予定内訳	10	text	1	0	right	0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	storeNum	入庫数	12	calcnumber	1	1	right	1					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	storeNumMultiText	入庫数荷姿	13	number	0	1	right	0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	limitDt	期限日	14	date	1	1		0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	maxLimitDt	入荷期限日	15	date	1	0		0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	lot	ロット	16	text	1	1		0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	clientOrderNo	顧客発注No.	17	text	1	1		0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	storeLabelNo	入庫ラベルNo.	18	text	1	0		0					
ReceiveInspectionSD	入荷検品	wms_sd	receiveInspectionDetail	入荷検品リスト明細詳細グリッド	grid	1	1		0	1	storeRecordBComment	入庫実績ボディ備考	19	text	1	1		0					
