画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ReceivePlanBulkInput	入荷予定一括取込	wms	centerCd	センタ		1	1		1	1													
ReceivePlanBulkInput	入荷予定一括取込	wms	clientCd	荷主		1	1		1	1													
ReceivePlanBulkInput	入荷予定一括取込	wms	excelUpload	ファイル取込		1	1		0	1													
ReceivePlanBulkInput	入荷予定一括取込	wms	register	登録		1	1	right	0	1													
ReceivePlanBulkInput	入荷予定一括取込	wms	receivePlan	入荷予定一括取込グリッド	grid	1	1		0	1	lineNo	No.	1	number	1	0	right	0	60			1	60
ReceivePlanBulkInput	入荷予定一括取込	wms	receivePlan	入荷予定一括取込グリッド	grid	1	1		0	1	treceivePlanH.planClientReceiveNo	予定顧客入荷指示No.	2	text	1	0		0	210	2		2	210
ReceivePlanBulkInput	入荷予定一括取込	wms	receivePlan	入荷予定一括取込グリッド	grid	1	1		0	1	treceivePlanH.planSupplierCd	仕入先CD	3	text	1	0		0	200	3		3	200
ReceivePlanBulkInput	入荷予定一括取込	wms	receivePlan	入荷予定一括取込グリッド	grid	1	1		0	1	treceivePlanH.mcustomerByPlanSupplierId.customerNm	仕入先名称	4	text	1	0		0	300			4	300
ReceivePlanBulkInput	入荷予定一括取込	wms	receivePlan	入荷予定一括取込グリッド	grid	1	1		0	1	treceivePlanH.mcustomerByPlanSupplierId.customerAbbr	仕入先略称	5	text	1	0		0	250			5	250
ReceivePlanBulkInput	入荷予定一括取込	wms	receivePlan	入荷予定一括取込グリッド	grid	1	1		0	1	treceivePlanH.receivePlanDt	入荷予定日	6	text	1	0		0	150	6		6	150
ReceivePlanBulkInput	入荷予定一括取込	wms	receivePlan	入荷予定一括取込グリッド	grid	1	1		0	1	treceivePlanH.mprocessType.processTypeCd	処理区分	7	text	1	0		0	170	7		7	170
ReceivePlanBulkInput	入荷予定一括取込	wms	receivePlan	入荷予定一括取込グリッド	grid	1	1		0	1	treceivePlanH.mstockType.stockTypeCd	在庫区分	8	text	1	0		0	170	8		8	170
