画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	centerCd	センタ	dropdown	1	1		0	1													
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	clientCd	荷主	dropdown	1	1		0	1													
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	productCd	商品CD	text	1	1		0	1													
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	janCd	ソースCD	text	1	1		0	1													
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	customerCd	預託	dropdown	1	1		0	0													
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	stockTypeCd	在庫区分	dropdown	1	1		0	0													
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	limitDtFrom	期限日(From)	datetime	1	1		0	0													
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	limitDtTo	期限日(To)	datetime	1	1		0	0													
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	lot	ロット	text	1	1		0	0													
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	fixedPointCd	定点切れ	dropdown	1	1		0	0													
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	stockNumDisplay	在庫数 0非表示	dropdown	1	1		0	0													
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	search	検索		1	1		0	1													
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	excelOutput	Excel出力		1	1		0	1													
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	fixedPoint	定点切れ		1	0		0	1													
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	referenceTotalStockList	トータル在庫問合せ(参照)グリッド		1	0		0	1													
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	referenceTotalStockListDefinition	トータル在庫問合せ(参照)グリッド(列定義)	grid	1	0		0	1	mclient.clientCd	荷主CD	1	text	1	0		0	85				
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	referenceTotalStockListDefinition	トータル在庫問合せ(参照)グリッド(列定義)	grid	1	0		0	1	mclient.clientNm	荷主名称	2	text	1	0		0	300				
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	referenceTotalStockListDefinition	トータル在庫問合せ(参照)グリッド(列定義)	grid	1	0		0	1	mproduct.productCd	商品CD	3	text	1	0		0	245				
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	referenceTotalStockListDefinition	トータル在庫問合せ(参照)グリッド(列定義)	grid	1	0		0	1	mproduct.productNm	商品名称	4	text	1	0		0	300				
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	referenceTotalStockListDefinition	トータル在庫問合せ(参照)グリッド(列定義)	grid	1	0		0	1	mproduct.productAbbr	商品略称	5	text	1	0		0	300				
ReferenceTotalStockList	トータル在庫問合せ(参照)	wms	referenceTotalStockListDefinition	トータル在庫問合せ(参照)グリッド(列定義)	grid	1	0		0	1	mproduct.janCd	ソースCD	6	text	1	0		0	205				
