画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ShapeGroupMasterEdit	荷姿グループマスタメンテナンス(編集)	wms	clientCd	荷主		1	0		1	1													
ShapeGroupMasterEdit	荷姿グループマスタメンテナンス(編集)	wms	shapeGrpCd	荷姿グループCD		1	1		1	1													
ShapeGroupMasterEdit	荷姿グループマスタメンテナンス(編集)	wms	shapeGrpName	荷姿グループ名称		1	1		1	1													
ShapeGroupMasterEdit	荷姿グループマスタメンテナンス(編集)	wms	decimalExistFlg	小数有無フラグ		1	1		1	1													
ShapeGroupMasterEdit	荷姿グループマスタメンテナンス(編集)	wms	delFlg	削除		1	1		1	1													
ShapeGroupMasterEdit	荷姿グループマスタメンテナンス(編集)	wms	addRow	行追加		1	1		0	1													
ShapeGroupMasterEdit	荷姿グループマスタメンテナンス(編集)	wms	removeRow	行削除		1	1		0	1													
ShapeGroupMasterEdit	荷姿グループマスタメンテナンス(編集)	wms	register	登録		1	1		0	1													
ShapeGroupMasterEdit	荷姿グループマスタメンテナンス(編集)	wms	list	荷姿グループマスタメンテナンス(編集)	grid	1	1		1	1	mshape.shapeCd	荷姿CD	1	dropdown	1	1		1	245			1	245
ShapeGroupMasterEdit	荷姿グループマスタメンテナンス(編集)	wms	list	荷姿グループマスタメンテナンス(編集)	grid	1	1		0	1	gtin14Symbol	GTIN14	2	text	1	1		0	300			2	300
ShapeGroupMasterEdit	荷姿グループマスタメンテナンス(編集)	wms	list	荷姿グループマスタメンテナンス(編集)	grid	1	1		0	1	shapeCd	親荷姿CD	3	dropdown	1	1		0	300			3	300
ShapeGroupMasterEdit	荷姿グループマスタメンテナンス(編集)	wms	list	荷姿グループマスタメンテナンス(編集)	grid	1	1		0	1	casePickFlg	ケースピッキング対象	4	checkbox	1	1		0	300			4	300
ShapeGroupMasterEdit	荷姿グループマスタメンテナンス(編集)	wms	list	荷姿グループマスタメンテナンス(編集)	grid	1	1		0	1	emReplenishShapeFlg	緊急補充ゾーン補充荷姿	5	checkbox	1	1		0	300			5	300
ShapeGroupMasterEdit	荷姿グループマスタメンテナンス(編集)	wms	list	荷姿グループマスタメンテナンス(編集)	grid	1	1		0	1	delFlg	削除	6	dropdown	1	1		1	300			6	300
