画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ShippingConfirmList	出荷確定一覧	wms	centerCd	センタ		1	1		1	1													
ShippingConfirmList	出荷確定一覧	wms	clientCd	荷主		1	1		1	1													
ShippingConfirmList	出荷確定一覧	wms	noConfirmedFlg	未確定のみ表示		1	1		0	1													
ShippingConfirmList	出荷確定一覧	wms	shippingStatus	出荷ステータス		1	1		0	0													
ShippingConfirmList	出荷確定一覧	wms	shippingDtFrom	出荷日(From)		1	1		1	1													
ShippingConfirmList	出荷確定一覧	wms	shippingDtTo	出荷日(To)		1	1		1	1													
ShippingConfirmList	出荷確定一覧	wms	deliveryCourseCd	配送コースCD		1	1		0	0													
ShippingConfirmList	出荷確定一覧	wms	carrierCd	運送業者		1	1		0	0													
ShippingConfirmList	出荷確定一覧	wms	supplyCustomerCd	納品先CD		1	1		0	0													
ShippingConfirmList	出荷確定一覧	wms	pickingWorkNo	出庫作業No.		1	1		0	0													
ShippingConfirmList	出荷確定一覧	wms	noStockOutFlg	欠品フラグ	dropdown	1	1		0	0													
ShippingConfirmList	出荷確定一覧	wms	search	検索		1	1		0	1													
ShippingConfirmList	出荷確定一覧	wms	excelOutput	Excel出力		1	1		0	1													
ShippingConfirmList	出荷確定一覧	wms	noConfirmed	未確定		1	0	center	0	1													
ShippingConfirmList	出荷確定一覧	wms	inspectionedTitle	出荷検品済		1	0		0	1													
ShippingConfirmList	出荷確定一覧	wms	Confirmed	出荷確定済		1	0	center	0	1													
ShippingConfirmList	出荷確定一覧	wms	shippingStop	出荷停止		1	0	center	0	1													
ShippingConfirmList	出荷確定一覧	wms	shippingConfirmList	出荷確定一覧グリッド	grid	1	1		0	1	shippingDt	出荷日	1	date	1	0		0	150			1	150
ShippingConfirmList	出荷確定一覧	wms	shippingConfirmList	出荷確定一覧グリッド	grid	1	1		0	1	pickingStatus	出荷ステータス	2	text	1	0		0	125			2	150
ShippingConfirmList	出荷確定一覧	wms	shippingConfirmList	出荷確定一覧グリッド	grid	1	1		0	1	pickingStatusNm	出荷ステータス名称	3	text	1	0		0	155			3	190
ShippingConfirmList	出荷確定一覧	wms	shippingConfirmList	出荷確定一覧グリッド	grid	1	1		0	1	bolNo	Bill of lading No	4	text	0	0		0	300			4	300
ShippingConfirmList	出荷確定一覧	wms	shippingConfirmList	出荷確定一覧グリッド	grid	1	1		0	1	deliveryCourseCd	配送コースCD	5	text	1	0		0	125			5	220
ShippingConfirmList	出荷確定一覧	wms	shippingConfirmList	出荷確定一覧グリッド	grid	1	1		0	1	deliveryCourseNm	配送コース名称	6	text	1	0		0	300			6	300
ShippingConfirmList	出荷確定一覧	wms	shippingConfirmList	出荷確定一覧グリッド	grid	1	1		0	1	carrierCd	運送業者CD	7	text	1	0		0	110			7	110
ShippingConfirmList	出荷確定一覧	wms	shippingConfirmList	出荷確定一覧グリッド	grid	1	1		0	1	carrierNm	運送業者名称	8	text	1	0		0	300			8	300
