画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	centerCd	センタ		1	1		1	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	clientCd	荷主		1	1		1	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	shippingSlipNo	WMS出荷伝票No.		1	0		0	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	clientShippingNo	顧客出荷指示No.		1	1		0	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	emergencyFlg	緊急フラグ		1	1		1	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	supplierCustomerCd	納品先CD		1	1		1	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	deliveryCourseCd	配送コースCD		1	1		1	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	delivPlanDt	納品予定日		1	1		0	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	workDt	作業日		1	0		0	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	shippingDt	出荷日		1	1		1	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	processTypeCd	処理区分		1	1		1	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	delivDt	納品指定日		1	1		0	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	delivTz	納品時間帯		1	1		0	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	addRow	行追加		1	1		0	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	removeRow	行削除		1	1		0	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	register	登録		1	1		0	1													
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	searchBody	出荷実績入力グリッド	grid	1	1		0	1	lineNo	行No.	1	number	1	0	right	0	60			1	100
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	searchBody	出荷実績入力グリッド	grid	1	1		0	1	productCd	商品CD	2	text	1	1		1	245			2	245
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	searchBody	出荷実績入力グリッド	grid	1	1		0	1	mproduct.productNm	商品名称	3	text	1	0		0	300			3	300
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	searchBody	出荷実績入力グリッド	grid	1	1		0	1	mproduct.productAbbr	商品略称	4	text	1	0		0	300			4	300
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	searchBody	出荷実績入力グリッド	grid	1	1		0	1	locationCd	ロケーションCD	5	text	1	1		1	200			5	200
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	searchBody	出荷実績入力グリッド	grid	1	1		0	1	chargeNum	引当可能数	6	number	1	0	right	0	95			6	130
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	searchBody	出荷実績入力グリッド	grid	1	1		0	1	mproduct.janCd	ソースCD	7	text	1	0		0	205			7	205
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	searchBody	出荷実績入力グリッド	grid	1	1		0	1	lot	ロット	8	text	1	1		0	170			8	170
ShippingInputNoPlan	出荷実績入力(予定なし)	wms	searchBody	出荷実績入力グリッド	grid	1	1		0	1	limitDt	期限日	9	date	1	1		0	150			9	150
