画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ShippingInstDetail	出荷指示明細	wms	centerCd	センタ		1	0		0	1													
ShippingInstDetail	出荷指示明細	wms	clientCd	荷主		1	0		0	1													
ShippingInstDetail	出荷指示明細	wms	workDt	作業日		1	0		0	1													
ShippingInstDetail	出荷指示明細	wms	shippingDt	出荷日		1	0		0	1													
ShippingInstDetail	出荷指示明細	wms	delivPlanDt	納品予定日		1	0		0	1													
ShippingInstDetail	出荷指示明細	wms	supplyCustomerCd	納品先CD		1	0		0	1													
ShippingInstDetail	出荷指示明細	wms	supplyCustomerNm	納品先名称		1	0		0	1													
ShippingInstDetail	出荷指示明細	wms	address1	届先住所1		1	0		0	1													
ShippingInstDetail	出荷指示明細	wms	shippingSlipNo	WMS出荷伝票No.		1	0		0	1													
ShippingInstDetail	出荷指示明細	wms	shippingStatus	出荷ステータス		1	0		0	1													
ShippingInstDetail	出荷指示明細	wms	nonShippingTitle	通常		1	0		0	1													
ShippingInstDetail	出荷指示明細	wms	shippingStopTitle	出荷停止		1	0		0	1													
ShippingInstDetail	出荷指示明細	wms	stockOutFlgTitle	欠品		1	0		0	1													
ShippingInstDetail	出荷指示明細	wms	shippingInstDetail	出荷指示明細グリッド	grid	1	1		0	1	lineNo	行No.	1	number	1	0	right	0	60			1	90
ShippingInstDetail	出荷指示明細	wms	shippingInstDetail	出荷指示明細グリッド	grid	1	1		0	1	productCd	商品CD	2	text	1	0		0	245			2	245
ShippingInstDetail	出荷指示明細	wms	shippingInstDetail	出荷指示明細グリッド	grid	1	1		0	1	mproduct.janCd	ソースCD	3	text	1	0		0	205			3	205
ShippingInstDetail	出荷指示明細	wms	shippingInstDetail	出荷指示明細グリッド	grid	1	1		0	1	mproduct.productNm	商品名称	4	text	1	0		0	300			4	300
ShippingInstDetail	出荷指示明細	wms	shippingInstDetail	出荷指示明細グリッド	grid	1	1		0	1	mproduct.productAbbr	商品略称	5	text	1	0		0	300			5	300
ShippingInstDetail	出荷指示明細	wms	shippingInstDetail	出荷指示明細グリッド	grid	1	1		0	1	productUnit	商品単位	6	text	1	0		0	90			6	90
