画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ShippingInstList	出庫指示一覧	wms	takingShippingFlg	作業日/出荷日		1	1		1	1													
ShippingInstList	出庫指示一覧	wms	dtFrom	日付(From)		1	1		1	1													
ShippingInstList	出庫指示一覧	wms	dtTo	日付(To)		1	1		1	1													
ShippingInstList	出庫指示一覧	wms	centerCd	センタ		1	1		1	1													
ShippingInstList	出庫指示一覧	wms	clientCd	荷主		1	1		1	1													
ShippingInstList	出庫指示一覧	wms	deliveryCourseCd	配送コースCD		1	1		0	0													
ShippingInstList	出庫指示一覧	wms	supplyCustomerCd	納品先CD		1	1		0	0													
ShippingInstList	出庫指示一覧	wms	carrierCd	運送業者		1	1		0	0													
ShippingInstList	出庫指示一覧	wms	pickingBatchNo	出庫指示バッチNo.		1	1		0	0													
ShippingInstList	出庫指示一覧	wms	pickingWorkNo	出庫作業No.		1	1		0	0													
ShippingInstList	出庫指示一覧	wms	clientShippingNo	顧客出荷指示No.		1	1		0	0													
ShippingInstList	出庫指示一覧	wms	shippingStatus	出荷ステータス		1	1		0	0													
ShippingInstList	出庫指示一覧	wms	noAllcDisplayFlg	未出荷全件		1	1		0	0													
ShippingInstList	出庫指示一覧	wms	emergencyFlg	緊急のみ		1	1		0	0													
ShippingInstList	出庫指示一覧	wms	noStockOutFlg	欠品フラグ		1	1		0	0													
ShippingInstList	出庫指示一覧	wms	shippingSlipNo	WMS出荷伝票No.		1	1		0	0													
ShippingInstList	出庫指示一覧	wms	pickingWorkMessageFlg	出庫作業メッセージ有無	dropdown	1	1		0	0													
ShippingInstList	出庫指示一覧	wms	pickingWorkMessage	出庫作業メッセージ		1	1		0	0													
ShippingInstList	出庫指示一覧	wms	cancelDisplay	キャンセルデータ表示	dropdown	1	1		0	0													
ShippingInstList	出庫指示一覧	wms	search	検索		1	1		0	1													
ShippingInstList	出庫指示一覧	wms	excelOutput	Excel出力		1	1		0	1													
ShippingInstList	出庫指示一覧	wms	nonShippingTitle	未出荷		1	0		0	1													
ShippingInstList	出庫指示一覧	wms	shippingInstProcessingTitle	出庫指示中		1	0		0	1													
ShippingInstList	出庫指示一覧	wms	shippingInstedTitle	出庫指示済		1	0		0	1													
ShippingInstList	出庫指示一覧	wms	inspectionedTitle	出荷検品済		1	0		0	1													
ShippingInstList	出庫指示一覧	wms	shippingFixedTitle	出荷確定済		1	0		0	1													
ShippingInstList	出庫指示一覧	wms	cancelTitle	キャンセル		1	0		0	1													
ShippingInstList	出庫指示一覧	wms	errorTitle	エラー有		1	0		0	1													
ShippingInstList	出庫指示一覧	wms	shippingStopTitle	出荷停止		1	0		0	1													
ShippingInstList	出庫指示一覧	wms	emergencyTitle	緊急		1	0		0	1													
ShippingInstList	出庫指示一覧	wms	stockOutFlgTitle	欠品		1	0		0	1													
ShippingInstList	出庫指示一覧	wms	shippingInstList	出庫指示一覧グリッド	grid	1	1		0	1	workDt	作業日	1	date	1	0		0	150			1	150
ShippingInstList	出庫指示一覧	wms	shippingInstList	出庫指示一覧グリッド	grid	1	1		0	1	shippingDt	出荷日	2	date	1	0		0	150			2	150
